source,target,tgt_lng
Fanfiction,同人小说,zh-CN
Fanfic,同人小说,zh-CN
Fic,同人小说,zh-CN
Fan work,同人作品,zh-CN
Fan art,同人画,zh-CN
Fan video,同人视频,zh-CN
Fan comic,同人漫画,zh-CN
Original work,原创作品,zh-CN
Original character,原创角色,zh-CN
Original fiction,原创小说,zh-CN
Archive,档案库,zh-CN
Collection,合集,zh-CN
Series,系列,zh-CN
Work,作品,zh-CN
Chapter,章节,zh-CN
Part,部分,zh-CN
Volume,卷,zh-CN
Book,书,zh-CN
Story,故事,zh-CN
Plot,情节,zh-CN
Setting,设定,zh-CN
Character,角色,zh-CN
Main character,主角,zh-CN
Supporting character,配角,zh-CN
Antagonist,反派,zh-CN
Protagonist,主角,zh-CN
Pairing,配对,zh-CN
Ship,配对,zh-CN
Relationship,关系,zh-CN
Romance,浪漫,zh-CN
Friendship,友谊,zh-CN
Family,家庭,zh-CN
Gen,无性向,zh-CN
Het,异性恋,zh-CN
Slash,同性恋,zh-CN
Femslash,女同性恋,zh-CN
M/M,男男,zh-CN
F/F,女女,zh-CN
Multi,多性向,zh-CN
Other,其他,zh-CN
Rating,分级,zh-CN
General,全年龄,zh-CN
Teen,青少年,zh-CN
Mature,成人,zh-CN
Explicit,限制级,zh-CN
Not rated,未分级,zh-CN
Warning,警告,zh-CN
No archive warnings apply,无警告,zh-CN
Graphic depictions of violence,暴力描写,zh-CN
Major character death,主要角色死亡,zh-CN
Rape/non-con,强奸/非自愿,zh-CN
Underage,未成年,zh-CN
Category,分类,zh-CN
Fandom,同人圈,zh-CN
Fandom blind,无原作背景,zh-CN
Crossover,交叉,zh-CN
Fusion,融合,zh-CN
Alternate universe,平行宇宙,zh-CN
AU,平行宇宙,zh-CN
Canon,原作,zh-CN
Canon compliant,符合原作,zh-CN
Canon divergent,偏离原作,zh-CN
Headcanon,个人设定,zh-CN
Fan theory,粉丝理论,zh-CN
Tag,标签,zh-CN
Additional tags,附加标签,zh-CN
Relationship tags,关系标签,zh-CN
Character tags,角色标签,zh-CN
Freeform tags,自由标签,zh-CN
Summary,摘要,zh-CN
Notes,注释,zh-CN
Author's notes,作者注释,zh-CN
End notes,结尾注释,zh-CN
Dedication,献词,zh-CN
Acknowledgments,致谢,zh-CN
Beta reader,校对者,zh-CN
Beta,校对,zh-CN
Beta'd,已校对,zh-CN
Unbeta'd,未校对,zh-CN
Word count,字数,zh-CN
Chapter count,章节数,zh-CN
Status,状态,zh-CN
Complete,已完成,zh-CN
Incomplete,未完成,zh-CN
On hiatus,暂停,zh-CN
Abandoned,弃坑,zh-CN
WIP,进行中,zh-CN
Work in progress,进行中,zh-CN
Update,更新,zh-CN
Latest update,最新更新,zh-CN
Last updated,最后更新,zh-CN
Posted,发布,zh-CN
Posted date,发布日期,zh-CN
Completion date,完成日期,zh-CN
Language,语言,zh-CN
Translation,翻译,zh-CN
Translated,已翻译,zh-CN
Original language,原文语言,zh-CN
Target language,目标语言,zh-CN
Translator,译者,zh-CN
Translation notes,翻译注释,zh-CN
Comment,评论,zh-CN
Review,评论,zh-CN
Kudos,点赞,zh-CN
Bookmark,收藏,zh-CN
Subscribe,订阅,zh-CN
Share,分享,zh-CN
Report,举报,zh-CN
Filter,筛选,zh-CN
Search,搜索,zh-CN
Sort,排序,zh-CN
Filter by,按...筛选,zh-CN
Sort by,按...排序,zh-CN
Fanfiction,同人小說,zh-TW
Fanfic,同人小說,zh-TW
Fic,同人小說,zh-TW
Fan work,同人作品,zh-TW
Fan art,同人畫,zh-TW
Fan video,同人影片,zh-TW
Fan comic,同人漫畫,zh-TW
Original work,原創作品,zh-TW
Original character,原創角色,zh-TW
Original fiction,原創小說,zh-TW
Archive,檔案庫,zh-TW
Collection,合集,zh-TW
Series,系列,zh-TW
Work,作品,zh-TW
Chapter,章節,zh-TW
Part,部分,zh-TW
Volume,卷,zh-TW
Book,書,zh-TW
Story,故事,zh-TW
Plot,情節,zh-TW
Setting,設定,zh-TW
Character,角色,zh-TW
Main character,主角,zh-TW
Supporting character,配角,zh-TW
Antagonist,反派,zh-TW
Protagonist,主角,zh-TW
Pairing,配對,zh-TW
Ship,配對,zh-TW
Relationship,關係,zh-TW
Romance,浪漫,zh-TW
Friendship,友誼,zh-TW
Family,家庭,zh-TW
Gen,無性向,zh-TW
Het,異性戀,zh-TW
Slash,同性戀,zh-TW
Femslash,女同性戀,zh-TW
M/M,男男,zh-TW
F/F,女女,zh-TW
Multi,多性向,zh-TW
Other,其他,zh-TW
Rating,分級,zh-TW
General,全年齡,zh-TW
Teen,青少年,zh-TW
Mature,成人,zh-TW
Explicit,限制級,zh-TW
Not rated,未分級,zh-TW
Warning,警告,zh-TW
No archive warnings apply,無警告,zh-TW
Graphic depictions of violence,暴力描寫,zh-TW
Major character death,主要角色死亡,zh-TW
Rape/non-con,強暴/非自願,zh-TW
Underage,未成年,zh-TW
Category,分類,zh-TW
Fandom,同人圈,zh-TW
Fandom blind,無原作背景,zh-TW
Crossover,交叉,zh-TW
Fusion,融合,zh-TW
Alternate universe,平行宇宙,zh-TW
AU,平行宇宙,zh-TW
Canon,原作,zh-TW
Canon compliant,符合原作,zh-TW
Canon divergent,偏離原作,zh-TW
Headcanon,個人設定,zh-TW
Fan theory,粉絲理論,zh-TW
Tag,標籤,zh-TW
Additional tags,附加標籤,zh-TW
Relationship tags,關係標籤,zh-TW
Character tags,角色標籤,zh-TW
Freeform tags,自由標籤,zh-TW
Summary,摘要,zh-TW
Notes,註釋,zh-TW
Author's notes,作者註釋,zh-TW
End notes,結尾註釋,zh-TW
Dedication,獻詞,zh-TW
Acknowledgments,致謝,zh-TW
Beta reader,校對者,zh-TW
Beta,校對,zh-TW
Beta'd,已校對,zh-TW
Unbeta'd,未校對,zh-TW
Word count,字數,zh-TW
Chapter count,章節數,zh-TW
Status,狀態,zh-TW
Complete,已完成,zh-TW
Incomplete,未完成,zh-TW
On hiatus,暫停,zh-TW
Abandoned,棄坑,zh-TW
WIP,進行中,zh-TW
Work in progress,進行中,zh-TW
Update,更新,zh-TW
Latest update,最新更新,zh-TW
Last updated,最後更新,zh-TW
Posted,發布,zh-TW
Posted date,發布日期,zh-TW
Completion date,完成日期,zh-TW
Language,語言,zh-TW
Translation,翻譯,zh-TW
Translated,已翻譯,zh-TW
Original language,原文語言,zh-TW
Target language,目標語言,zh-TW
Translator,譯者,zh-TW
Translation notes,翻譯註釋,zh-TW
Comment,評論,zh-TW
Review,評論,zh-TW
Kudos,讚,zh-TW
Bookmark,收藏,zh-TW
Subscribe,訂閱,zh-TW
Share,分享,zh-TW
Report,舉報,zh-TW
Filter,篩選,zh-TW
Search,搜尋,zh-TW
Sort,排序,zh-TW
Filter by,按...篩選,zh-TW
Sort by,按...排序,zh-TW 
