source,target,tgt_lng
Sedan,轎車,zh-TW
SUV,運動休旅車,zh-TW
Crossover,跨界休旅車,zh-TW
Hatchback,掀背車,zh-TW
Wagon,旅行車,zh-TW
Van,廂型車,zh-TW
Pickup,皮卡,zh-TW
Sports car,跑車,zh-TW
Luxury car,豪華車,zh-TW
Electric car,電動車,zh-TW
Hybrid car,油電混合車,zh-TW
Plug-in hybrid,插電式油電混合車,zh-TW
Self-driving car,自動駕駛汽車,zh-TW
Autonomous vehicle,自動駕駛車輛,zh-TW
Manual transmission,手排變速箱,zh-TW
Automatic transmission,自排變速箱,zh-TW
CVT,無段變速箱,zh-TW
DCT,雙離合器變速箱,zh-TW
Drivetrain,傳動系統,zh-TW
Front-wheel drive,前輪驅動,zh-TW
Rear-wheel drive,後輪驅動,zh-TW
All-wheel drive,全輪驅動,zh-TW
Four-wheel drive,四輪驅動,zh-TW
Suspension,懸吊系統,zh-TW
ABS,防鎖死煞車系統,zh-TW
ESP,電子穩定程式,zh-TW
Traction control,循跡防滑控制系統,zh-TW
Instrument cluster,儀表組,zh-TW
Speedometer,時速表,zh-TW
Tachometer,轉速表,zh-TW
Fuel gauge,油量表,zh-TW
Temperature gauge,水溫表,zh-TW
Oil pressure gauge,機油壓力表,zh-TW
Headlight,頭燈,zh-TW
Taillight,尾燈,zh-TW
Turn signal,方向燈,zh-TW
Fog light,霧燈,zh-TW
Windshield,擋風玻璃,zh-TW
Wiper,雨刷,zh-TW
Side mirror,側視鏡,zh-TW
Rearview mirror,後視鏡,zh-TW
Trunk,後車廂,zh-TW
Hood,引擎蓋,zh-TW
Grille,水箱護罩,zh-TW
Bumper,保險桿,zh-TW
Fender,葉子板,zh-TW
Rim,輪框,zh-TW
Hubcap,輪轂蓋,zh-TW
Exhaust system,排氣系統,zh-TW
Muffler,消音器,zh-TW
Catalytic converter,觸媒轉換器,zh-TW
Fuel system,燃油系統,zh-TW
Fuel tank,油箱,zh-TW
Fuel pump,燃油泵浦,zh-TW
Fuel injector,噴油嘴,zh-TW
Air filter,空氣濾清器,zh-TW
Oil filter,機油濾清器,zh-TW
Alternator,發電機,zh-TW
Starter,啟動馬達,zh-TW
Radiator,散熱器,zh-TW
Cooling system,冷卻系統,zh-TW
Climate control,恆溫空調,zh-TW
Navigation system,導航系統,zh-TW
Infotainment system,資訊娛樂系統,zh-TW
Cruise control,定速巡航,zh-TW
Lane departure warning,車道偏移警示,zh-TW
Blind spot monitoring,盲點偵測,zh-TW
Parking assist,停車輔助,zh-TW
Backup camera,倒車顯影,zh-TW
Keyless entry,免鑰匙進入,zh-TW
Push start,按鈕啟動,zh-TW
Remote start,遠端啟動,zh-TW
