source,target,tgt_lng
King,王,zh-CN
Queen,后,zh-CN
Bishop,象,zh-CN
Knight,马,zh-CN
Rook,车,zh-CN
Pawn,兵,zh-CN
Check,将军,zh-CN
Checkmate,将死,zh-CN
Stalemate,和棋,zh-CN
Castling,王车易位,zh-CN
En passant,吃过路兵,zh-CN
Promotion,升变,zh-CN
Rank,横线,zh-CN
File,竖线,zh-CN
Diagonal,斜线,zh-CN
Center,中心,zh-CN
Opening,开局,zh-CN
Middlegame,中局,zh-CN
Endgame,残局,zh-CN
Fork,双将,zh-CN
Pin,牵制,zh-CN
Skewer,串击,zh-CN
Discovered attack,闪击,zh-CN
Sacrifice,弃子,zh-CN
Time control,时间控制,zh-CN
Blitz,快棋,zh-CN
Bullet,超快棋,zh-CN
Rapid,快棋,zh-CN
Classical,慢棋,zh-CN
Elo rating,等级分,zh-CN
FIDE,国际棋联,zh-CN
Grandmaster,特级大师,zh-CN
International Master,国际大师,zh-CN
FIDE Master,棋联大师,zh-CN
Candidate Master,候补大师,zh-CN
