source,target,tgt_lng
E-commerce,电子商务,zh-CN
Online shopping,网上购物,zh-CN
Store,店铺,zh-CN
Shop,商店,zh-CN
Product,产品,zh-CN
Item,商品,zh-CN
Listing,商品列表,zh-CN
Category,类别,zh-CN
Brand,品牌,zh-CN
Price,价格,zh-CN
Discount,折扣,zh-CN
Sale,促销,zh-CN
Deal,优惠,zh-CN
Bargain,特价,zh-CN
Coupon,优惠券,zh-CN
Voucher,代金券,zh-CN
Promotion,促销活动,zh-CN
Campaign,活动,zh-CN
Bundle,套装,zh-CN
Package,包装,zh-CN
Box,盒子,zh-CN
Cart,购物车,zh-CN
Checkout,结账,zh-CN
Payment,支付,zh-CN
Order,订单,zh-CN
Purchase,购买,zh-CN
Transaction,交易,zh-CN
Receipt,收据,zh-CN
Invoice,发票,zh-CN
Shipping,配送,zh-CN
Delivery,送货,zh-CN
Express,快递,zh-CN
Logistics,物流,zh-CN
Tracking,追踪,zh-CN
Status,状态,zh-CN
Stock,库存,zh-CN
Inventory,库存,zh-CN
Warehouse,仓库,zh-CN
Supplier,供应商,zh-CN
Manufacturer,制造商,zh-CN
Wholesale,批发,zh-CN
Retail,零售,zh-CN
Marketplace,市场,zh-CN
Platform,平台,zh-CN
Website,网站,zh-CN
App,应用,zh-CN
Mobile,移动端,zh-CN
Desktop,电脑端,zh-CN
Search,搜索,zh-CN
Filter,筛选,zh-CN
Sort,排序,zh-CN
Review,评价,zh-CN
Rating,评分,zh-CN
Comment,评论,zh-CN
Feedback,反馈,zh-CN
Customer,顾客,zh-CN
User,用户,zh-CN
Account,账户,zh-CN
Profile,个人资料,zh-CN
Address,地址,zh-CN
Contact,联系方式,zh-CN
Service,服务,zh-CN
Support,支持,zh-CN
Help,帮助,zh-CN
FAQ,常见问题,zh-CN
Return,退货,zh-CN
Refund,退款,zh-CN
Exchange,换货,zh-CN
Warranty,保修,zh-CN
Guarantee,保证,zh-CN
Policy,政策,zh-CN
Terms,条款,zh-CN
Privacy,隐私,zh-CN
Security,安全,zh-CN
E-commerce,電子商務,zh-TW
Online shopping,網上購物,zh-TW
Store,店鋪,zh-TW
Shop,商店,zh-TW
Product,產品,zh-TW
Item,商品,zh-TW
Listing,商品列表,zh-TW
Category,類別,zh-TW
Brand,品牌,zh-TW
Price,價格,zh-TW
Discount,折扣,zh-TW
Sale,促銷,zh-TW
Deal,優惠,zh-TW
Bargain,特價,zh-TW
Coupon,優惠券,zh-TW
Voucher,代金券,zh-TW
Promotion,促銷活動,zh-TW
Campaign,活動,zh-TW
Bundle,套裝,zh-TW
Package,包裝,zh-TW
Box,盒子,zh-TW
Cart,購物車,zh-TW
Checkout,結帳,zh-TW
Payment,支付,zh-TW
Order,訂單,zh-TW
Purchase,購買,zh-TW
Transaction,交易,zh-TW
Receipt,收據,zh-TW
Invoice,發票,zh-TW
Shipping,配送,zh-TW
Delivery,送貨,zh-TW
Express,快遞,zh-TW
Logistics,物流,zh-TW
Tracking,追蹤,zh-TW
Status,狀態,zh-TW
Stock,庫存,zh-TW
Inventory,庫存,zh-TW
Warehouse,倉庫,zh-TW
Supplier,供應商,zh-TW
Manufacturer,製造商,zh-TW
Wholesale,批發,zh-TW
Retail,零售,zh-TW
Marketplace,市場,zh-TW
Platform,平台,zh-TW
Website,網站,zh-TW
App,應用程式,zh-TW
Mobile,行動裝置,zh-TW
Desktop,電腦,zh-TW
Search,搜尋,zh-TW
Filter,篩選,zh-TW
Sort,排序,zh-TW
Review,評價,zh-TW
Rating,評分,zh-TW
Comment,評論,zh-TW
Feedback,回饋,zh-TW
Customer,顧客,zh-TW
User,使用者,zh-TW
Account,帳戶,zh-TW
Profile,個人資料,zh-TW
Address,地址,zh-TW
Contact,聯絡方式,zh-TW
Service,服務,zh-TW
Support,支援,zh-TW
Help,協助,zh-TW
FAQ,常見問題,zh-TW
Return,退貨,zh-TW
Refund,退款,zh-TW
Exchange,換貨,zh-TW
Warranty,保固,zh-TW
Guarantee,保證,zh-TW
Policy,政策,zh-TW
Terms,條款,zh-TW
Privacy,隱私,zh-TW
Security,安全,zh-TW 
