source,target,tgt_lng
E-commerce,電子商務,zh-TW
Online shopping,網上購物,zh-TW
Store,店鋪,zh-TW
Shop,商店,zh-TW
Product,產品,zh-TW
Item,商品,zh-TW
Listing,商品列表,zh-TW
Category,類別,zh-TW
Brand,品牌,zh-TW
Price,價格,zh-TW
Discount,折扣,zh-TW
Sale,促銷,zh-TW
Deal,優惠,zh-TW
Bargain,特價,zh-TW
Coupon,優惠券,zh-TW
Voucher,代金券,zh-TW
Promotion,促銷活動,zh-TW
Campaign,活動,zh-TW
Bundle,套裝,zh-TW
Package,包裝,zh-TW
Box,盒子,zh-TW
Cart,購物車,zh-TW
Checkout,結帳,zh-TW
Payment,支付,zh-TW
Order,訂單,zh-TW
Purchase,購買,zh-TW
Transaction,交易,zh-TW
Receipt,收據,zh-TW
Invoice,發票,zh-TW
Shipping,配送,zh-TW
Delivery,送貨,zh-TW
Express,快遞,zh-TW
Logistics,物流,zh-TW
Tracking,追蹤,zh-TW
Status,狀態,zh-TW
Stock,庫存,zh-TW
Inventory,庫存,zh-TW
Warehouse,倉庫,zh-TW
Supplier,供應商,zh-TW
Manufacturer,製造商,zh-TW
Wholesale,批發,zh-TW
Retail,零售,zh-TW
Marketplace,市場,zh-TW
Platform,平台,zh-TW
Website,網站,zh-TW
App,應用程式,zh-TW
Mobile,行動裝置,zh-TW
Desktop,電腦,zh-TW
Search,搜尋,zh-TW
Filter,篩選,zh-TW
Sort,排序,zh-TW
Review,評價,zh-TW
Rating,評分,zh-TW
Comment,評論,zh-TW
Feedback,回饋,zh-TW
Customer,顧客,zh-TW
User,使用者,zh-TW
Account,帳戶,zh-TW
Profile,個人資料,zh-TW
Address,地址,zh-TW
Contact,聯絡方式,zh-TW
Service,服務,zh-TW
Support,支援,zh-TW
Help,協助,zh-TW
FAQ,常見問題,zh-TW
Return,退貨,zh-TW
Refund,退款,zh-TW
Exchange,換貨,zh-TW
Warranty,保固,zh-TW
Guarantee,保證,zh-TW
Policy,政策,zh-TW
Terms,條款,zh-TW
Privacy,隱私,zh-TW
Security,安全,zh-TW
