source,target,tgt_lng
Education,教育,zh-CN
Teaching,教学,zh-CN
Learning,学习,zh-CN
Study,学习,zh-CN
Research,研究,zh-CN
Academic,学术的,zh-CN
Scholarly,学术的,zh-CN
Pedagogical,教学的,zh-CN
Curriculum,课程,zh-CN
Syllabus,教学大纲,zh-CN
Program,课程,zh-CN
Major,专业,zh-CN
Minor,辅修,zh-CN
Degree,学位,zh-CN
Bachelor's degree,学士学位,zh-CN
Master's degree,硕士学位,zh-CN
Doctorate,博士学位,zh-CN
PhD,哲学博士,zh-CN
Diploma,文凭,zh-CN
Certificate,证书,zh-CN
School,学校,zh-CN
University,大学,zh-CN
College,学院,zh-CN
Institute,研究所,zh-CN
Academy,学院,zh-CN
Kindergarten,幼儿园,zh-CN
Primary school,小学,zh-CN
Middle school,中学,zh-CN
High school,高中,zh-CN
Vocational school,职业学校,zh-CN
Technical school,技术学校,zh-CN
Art school,艺术学校,zh-CN
Music school,音乐学校,zh-CN
Language school,语言学校,zh-CN
Online school,在线学校,zh-CN
Distance learning,远程教育,zh-CN
E-learning,在线学习,zh-CN
Blended learning,混合式学习,zh-CN
Teacher,教师,zh-CN
Professor,教授,zh-CN
Lecturer,讲师,zh-CN
Instructor,讲师,zh-CN
Tutor,导师,zh-CN
Student,学生,zh-CN
Pupil,小学生,zh-CN
Graduate student,研究生,zh-CN
Undergraduate,本科生,zh-CN
Freshman,大一学生,zh-CN
Sophomore,大二学生,zh-CN
Junior,大三学生,zh-CN
Senior,大四学生,zh-CN
Class,班级,zh-CN
Grade,年级,zh-CN
Classroom,教室,zh-CN
Lecture hall,讲堂,zh-CN
Laboratory,实验室,zh-CN
Library,图书馆,zh-CN
Campus,校园,zh-CN
Dormitory,宿舍,zh-CN
Cafeteria,食堂,zh-CN
Gymnasium,体育馆,zh-CN
Auditorium,礼堂,zh-CN
Subject,学科,zh-CN
Course,课程,zh-CN
Lecture,讲座,zh-CN
Seminar,研讨会,zh-CN
Workshop,工作坊,zh-CN
Tutorial,辅导课,zh-CN
Assignment,作业,zh-CN
Homework,家庭作业,zh-CN
Project,项目,zh-CN
