source,target,tgt_lng
Education,教育,zh-TW
Teaching,教學,zh-TW
Learning,學習,zh-TW
Study,學習,zh-TW
Research,研究,zh-TW
Academic,學術的,zh-TW
Scholarly,學術的,zh-TW
Pedagogical,教學的,zh-TW
Curriculum,課程,zh-TW
Syllabus,教學大綱,zh-TW
Program,課程,zh-TW
Major,主修,zh-TW
Minor,輔修,zh-TW
Degree,學位,zh-TW
Bachelor's degree,學士學位,zh-TW
Master's degree,碩士學位,zh-TW
Doctorate,博士學位,zh-TW
PhD,哲學博士,zh-TW
Diploma,文憑,zh-TW
Certificate,證書,zh-TW
School,學校,zh-TW
University,大學,zh-TW
College,學院,zh-TW
Institute,研究所,zh-TW
Academy,學院,zh-TW
Kindergarten,幼稚園,zh-TW
Primary school,小學,zh-TW
Middle school,中學,zh-TW
High school,高中,zh-TW
Vocational school,職業學校,zh-TW
Technical school,技術學校,zh-TW
Art school,藝術學校,zh-TW
Music school,音樂學校,zh-TW
Language school,語言學校,zh-TW
Online school,線上學校,zh-TW
Distance learning,遠距教育,zh-TW
E-learning,線上學習,zh-TW
Blended learning,混合式學習,zh-TW
Teacher,教師,zh-TW
Professor,教授,zh-TW
Lecturer,講師,zh-TW
Instructor,講師,zh-TW
Tutor,導師,zh-TW
Student,學生,zh-TW
Pupil,小學生,zh-TW
Graduate student,研究生,zh-TW
Undergraduate,大學生,zh-TW
Freshman,大一學生,zh-TW
Sophomore,大二學生,zh-TW
Junior,大三學生,zh-TW
Senior,大四學生,zh-TW
Class,班級,zh-TW
Grade,年級,zh-TW
Classroom,教室,zh-TW
Lecture hall,講堂,zh-TW
Laboratory,實驗室,zh-TW
Library,圖書館,zh-TW
Campus,校園,zh-TW
Dormitory,宿舍,zh-TW
Cafeteria,餐廳,zh-TW
Gymnasium,體育館,zh-TW
Auditorium,禮堂,zh-TW
Subject,學科,zh-TW
Course,課程,zh-TW
Lecture,講座,zh-TW
Seminar,研討會,zh-TW
Workshop,工作坊,zh-TW
Tutorial,輔導課,zh-TW
Assignment,作業,zh-TW
Homework,家庭作業,zh-TW
Project,專案,zh-TW
Thesis,論文,zh-TW
Dissertation,學位論文,zh-TW
Research paper,研究論文,zh-TW
Presentation,簡報,zh-TW
Exam,考試,zh-TW
Test,測驗,zh-TW
Quiz,小考,zh-TW
Midterm,期中考,zh-TW
Final,期末考,zh-TW
Grade,成績,zh-TW
Score,分數,zh-TW
Mark,分數,zh-TW
Pass,及格,zh-TW
Fail,不及格,zh-TW
Credit,學分,zh-TW
GPA,平均成績,zh-TW
Transcript,成績單,zh-TW
Scholarship,獎學金,zh-TW
Grant,助學金,zh-TW
Fellowship,研究金,zh-TW
Tuition,學費,zh-TW
Fee,費用,zh-TW
Textbook,教科書,zh-TW
Workbook,習作簿,zh-TW
Notebook,筆記本,zh-TW
Stationery,文具,zh-TW
Pen,鋼筆,zh-TW
Pencil,鉛筆,zh-TW
Paper,紙,zh-TW
Desk,課桌椅,zh-TW
Chair,椅子,zh-TW
Blackboard,黑板,zh-TW
Whiteboard,白板,zh-TW
Projector,投影機,zh-TW
Computer,電腦,zh-TW
Tablet,平板電腦,zh-TW
Smartphone,智慧型手機,zh-TW
Internet,網際網路,zh-TW
Wi-Fi,無線網路,zh-TW
Email,電子郵件,zh-TW
Website,網站,zh-TW
Platform,平台,zh-TW
Software,軟體,zh-TW
Application,應用程式,zh-TW
