source,target,tgt_lng
Fashion,时尚,zh-CN
Style,风格,zh-CN
Trend,潮流,zh-CN
Collection,系列,zh-CN
Season,季节,zh-CN
Spring,春季,zh-CN
Summer,夏季,zh-CN
Fall,秋季,zh-CN
Winter,冬季,zh-CN
Haute couture,高级定制,zh-CN
Ready-to-wear,成衣,zh-CN
Accessories,配饰,zh-CN
Jewelry,珠宝,zh-CN
Shoes,鞋子,zh-CN
Bags,包包,zh-CN
Belts,腰带,zh-CN
Scarves,围巾,zh-CN
Hats,帽子,zh-CN
Gloves,手套,zh-CN
Sunglasses,太阳镜,zh-CN
Necklace,项链,zh-CN
Earrings,耳环,zh-CN
Rings,戒指,zh-CN
Bracelets,手链,zh-CN
Clothing,服装,zh-CN
Dress,连衣裙,zh-CN
Skirt,裙子,zh-CN
Pants,裤子,zh-CN
Jeans,牛仔裤,zh-CN
Shorts,短裤,zh-CN
Shirt,衬衫,zh-CN
T-shirt,T恤,zh-CN
Sweater,毛衣,zh-CN
Jacket,夹克,zh-CN
Coat,大衣,zh-CN
Suit,西装,zh-CN
Blazer,西装外套,zh-CN
Vest,背心,zh-CN
Sweatshirt,卫衣,zh-CN
Hoodie,连帽衫,zh-CN
Underwear,内衣,zh-CN
Bra,文胸,zh-CN
Panties,内裤,zh-CN
Socks,袜子,zh-CN
Stockings,丝袜,zh-CN
Fabric,面料,zh-CN
Cotton,棉,zh-CN
Silk,丝绸,zh-CN
Wool,羊毛,zh-CN
Leather,皮革,zh-CN
Denim,牛仔布,zh-CN
Linen,亚麻,zh-CN
Polyester,聚酯,zh-CN
Velvet,天鹅绒,zh-CN
Suede,麂皮,zh-CN
Pattern,图案,zh-CN
Print,印花,zh-CN
Stripes,条纹,zh-CN
Plaid,格子,zh-CN
Polka dots,波点,zh-CN
Floral,花卉,zh-CN
Solid,纯色,zh-CN
Color,颜色,zh-CN
Red,红色,zh-CN
Blue,蓝色,zh-CN
Green,绿色,zh-CN
Yellow,黄色,zh-CN
Black,黑色,zh-CN
White,白色,zh-CN
Gray,灰色,zh-CN
Brown,棕色,zh-CN
Purple,紫色,zh-CN
Pink,粉色,zh-CN
Orange,橙色,zh-CN
Designer,设计师,zh-CN
Brand,品牌,zh-CN
Boutique,精品店,zh-CN
Department store,百货商店,zh-CN
Mall,购物中心,zh-CN
Outlet,奥特莱斯,zh-CN
Fashion show,时装秀,zh-CN
Runway,秀场,zh-CN
Model,模特,zh-CN
Photographer,摄影师,zh-CN
Stylist,造型师,zh-CN
Makeup artist,化妆师,zh-CN
Hair stylist,发型师,zh-CN
Fashion week,时装周,zh-CN
Collection,系列,zh-CN
Lookbook,型录,zh-CN
Campaign,广告活动,zh-CN
Editorial,时尚大片,zh-CN
