source,target,tgt_lng
Fashion,時尚,zh-TW
Style,風格,zh-TW
Trend,潮流,zh-TW
Collection,系列,zh-TW
Season,季節,zh-TW
Spring,春季,zh-TW
Summer,夏季,zh-TW
Fall,秋季,zh-TW
Winter,冬季,zh-TW
Haute couture,高級訂製,zh-TW
Ready-to-wear,成衣,zh-TW
Accessories,配飾,zh-TW
Jewelry,珠寶,zh-TW
Shoes,鞋子,zh-TW
Bags,包包,zh-TW
Belts,腰帶,zh-TW
Scarves,圍巾,zh-TW
Hats,帽子,zh-TW
Gloves,手套,zh-TW
Sunglasses,太陽眼鏡,zh-TW
Necklace,項鍊,zh-TW
Earrings,耳環,zh-TW
Rings,戒指,zh-TW
Bracelets,手鍊,zh-TW
Clothing,服裝,zh-TW
Dress,連身裙,zh-TW
Skirt,裙子,zh-TW
Pants,褲子,zh-TW
Jeans,牛仔褲,zh-TW
Shorts,短褲,zh-TW
Shirt,襯衫,zh-TW
T-shirt,T恤,zh-TW
Sweater,毛衣,zh-TW
Jacket,夾克,zh-TW
Coat,大衣,zh-TW
Suit,西裝,zh-TW
Blazer,西裝外套,zh-TW
Vest,背心,zh-TW
Sweatshirt,衛衣,zh-TW
Hoodie,連帽衫,zh-TW
Underwear,內衣,zh-TW
Bra,胸罩,zh-TW
Panties,內褲,zh-TW
Socks,襪子,zh-TW
Stockings,絲襪,zh-TW
Fabric,面料,zh-TW
Cotton,棉,zh-TW
Silk,絲綢,zh-TW
Wool,羊毛,zh-TW
Leather,皮革,zh-TW
Denim,牛仔布,zh-TW
Linen,亞麻,zh-TW
Polyester,聚酯,zh-TW
Velvet,天鵝絨,zh-TW
Suede,麂皮,zh-TW
Pattern,圖案,zh-TW
Print,印花,zh-TW
Stripes,條紋,zh-TW
Plaid,格子,zh-TW
Polka dots,波點,zh-TW
Floral,花卉,zh-TW
Solid,純色,zh-TW
Color,顏色,zh-TW
Red,紅色,zh-TW
Blue,藍色,zh-TW
Green,綠色,zh-TW
Yellow,黃色,zh-TW
Black,黑色,zh-TW
White,白色,zh-TW
Gray,灰色,zh-TW
Brown,棕色,zh-TW
Purple,紫色,zh-TW
Pink,粉色,zh-TW
Orange,橙色,zh-TW
Designer,設計師,zh-TW
Brand,品牌,zh-TW
Boutique,精品店,zh-TW
Department store,百貨公司,zh-TW
Mall,購物中心,zh-TW
Outlet,暢貨中心,zh-TW
Fashion show,時裝秀,zh-TW
Runway,秀場,zh-TW
Model,模特兒,zh-TW
Photographer,攝影師,zh-TW
Stylist,造型師,zh-TW
Makeup artist,化妝師,zh-TW
Hair stylist,髮型師,zh-TW
Fashion week,時裝週,zh-TW
Collection,系列,zh-TW
Lookbook,型錄,zh-TW
Campaign,廣告活動,zh-TW
Editorial,時尚大片,zh-TW
