source,target,tgt_lng
Stock,股票,zh-CN
Bond,债券,zh-CN
Fund,基金,zh-CN
ETF,交易所交易基金,zh-CN
Index,指数,zh-CN
Market,市场,zh-CN
Exchange,交易所,zh-CN
Trading,交易,zh-CN
Investment,投资,zh-CN
Portfolio,投资组合,zh-CN
Asset,资产,zh-CN
Liability,负债,zh-CN
Equity,权益,zh-CN
Debt,债务,zh-CN
Interest,利息,zh-CN
Dividend,股息,zh-CN
Yield,收益率,zh-CN
Return,回报,zh-CN
Risk,风险,zh-CN
Volatility,波动性,zh-CN
Price,价格,zh-CN
Value,价值,zh-CN
Capital,资本,zh-CN
Revenue,收入,zh-CN
Profit,利润,zh-CN
Loss,亏损,zh-CN
Margin,保证金,zh-CN
Leverage,杠杆,zh-CN
Short,做空,zh-CN
Long,做多,zh-CN
Bull,看涨,zh-CN
Bear,看跌,zh-CN
Option,期权,zh-CN
Future,期货,zh-CN
Derivative,衍生品,zh-CN
Hedge,对冲,zh-CN
Speculation,投机,zh-CN
Arbitrage,套利,zh-CN
Spread,价差,zh-CN
Commission,佣金,zh-CN
Fee,费用,zh-CN
Tax,税收,zh-CN
Regulation,监管,zh-CN
Compliance,合规,zh-CN
Audit,审计,zh-CN
Report,报告,zh-CN
Statement,报表,zh-CN
Balance sheet,资产负债表,zh-CN
Income statement,利润表,zh-CN
Cash flow,现金流量,zh-CN
Ratio,比率,zh-CN
PE ratio,市盈率,zh-CN
PB ratio,市净率,zh-CN
ROE,净资产收益率,zh-CN
ROA,总资产收益率,zh-CN
EPS,每股收益,zh-CN
IPO,首次公开募股,zh-CN
M&A,并购,zh-CN
Bankruptcy,破产,zh-CN
Default,违约,zh-CN
Credit,信用,zh-CN
Rating,评级,zh-CN
Currency,货币,zh-CN
Exchange rate,汇率,zh-CN
Inflation,通货膨胀,zh-CN
Deflation,通货紧缩,zh-CN
GDP,国内生产总值,zh-CN
CPI,消费者物价指数,zh-CN
Monetary policy,货币政策,zh-CN
Fiscal policy,财政政策,zh-CN
Central bank,中央银行,zh-CN
Reserve,准备金,zh-CN
Interest rate,利率,zh-CN
