source,target,tgt_lng
Fund,基金,zh-TW
Index,指數,zh-TW
Exchange,交易所,zh-TW
Trading,交易,zh-TW
Investment,投資,zh-TW
Portfolio,投資組合,zh-TW
Equity,權益,zh-TW
Dividend,股息,zh-TW
Volatility,波動性,zh-TW
Leverage,槓桿,zh-TW
Derivative,衍生性商品,zh-TW
Speculation,投機,zh-TW
Arbitrage,套利,zh-TW
Commission,佣金,zh-TW
Regulation,監管,zh-TW
Compliance,合規,zh-TW
Audit,審計,zh-TW
Balance sheet,資產負債表,zh-TW
Income statement,損益表,zh-TW
Cash flow,現金流量,zh-TW
Bankruptcy,破產,zh-TW
Exchange rate,匯率,zh-TW
Inflation,通貨膨脹,zh-TW
Deflation,通貨緊縮,zh-TW
Monetary policy,貨幣政策,zh-TW
Fiscal policy,財政政策,zh-TW
Central bank,中央銀行,zh-TW
Interest rate,利率,zh-TW
