source,target,tgt_lng
Cuisine,菜系,zh-CN
Baking,烘焙,zh-CN
Grilling,烧烤,zh-CN
Frying,煎炸,zh-CN
Steaming,蒸煮,zh-CN
Boiling,煮沸,zh-CN
Simmering,炖煮,zh-CN
Roasting,烤制,zh-CN
Braising,炖煮,zh-CN
Sautéing,煎炒,zh-CN
Stir-frying,炒,zh-CN
Deep-frying,油炸,zh-CN
Pan-frying,煎,zh-CN
Poaching,水煮,zh-CN
Blanching,焯水,zh-CN
Marinating,腌制,zh-CN
Seasoning,调味,zh-CN
Garnishing,装饰,zh-CN
Plating,摆盘,zh-CN
Recipe,食谱,zh-CN
Dressing,沙拉酱,zh-CN
Marinade,腌料,zh-CN
Stock,高汤,zh-CN
Broth,清汤,zh-CN
Consommé,清汤,zh-CN
Cocktail,鸡尾酒,zh-CN
Smoothie,冰沙,zh-CN
Bistro,小酒馆,zh-CN
Buffet,自助餐,zh-CN
Takeout,外卖,zh-CN
Delivery,送餐,zh-CN
Reservation,预订,zh-CN
Special,特色菜,zh-CN
Daily special,每日特价,zh-CN
Chef's special,主厨特选,zh-CN
Sous chef,副主厨,zh-CN
Line cook,厨师,zh-CN
Pastry chef,甜点师,zh-CN
Prep area,准备区,zh-CN
Station,工作站,zh-CN
Wok,炒锅,zh-CN
Blender,搅拌机,zh-CN
Food processor,食物处理器,zh-CN
Colander,滤网,zh-CN
Strainer,滤网,zh-CN
Whisk,打蛋器,zh-CN
Grater,擦丝器,zh-CN
Zester,刨丝器,zh-CN
Baking powder,泡打粉,zh-CN
Baking soda,小苏打,zh-CN
Yeast,酵母,zh-CN
