source,target,tgt_lng
Gardening,园艺,zh-CN
Garden center,园艺中心,zh-CN
Nursery,苗圃,zh-CN
Greenhouse,温室,zh-CN
Garden bed,花床,zh-CN
Flower bed,花坛,zh-CN
Vegetable garden,菜园,zh-CN
Herb garden,香草园,zh-CN
Rock garden,岩石园,zh-CN
Water garden,水景园,zh-CN
Container garden,容器花园,zh-CN
Indoor garden,室内花园,zh-CN
Outdoor garden,户外花园,zh-CN
Seedling,幼苗,zh-CN
Sapling,树苗,zh-CN
Cutting,插条,zh-CN
Bulb,球根,zh-CN
Compost,堆肥,zh-CN
Fertilizer,肥料,zh-CN
Mulch,覆盖物,zh-CN
Peat,泥炭,zh-CN
Sand,沙子,zh-CN
Clay,粘土,zh-CN
Loam,壤土,zh-CN
Irrigation,灌溉,zh-CN
Sprinkler,喷水器,zh-CN
Pruning,修剪,zh-CN
Weeding,除草,zh-CN
Mowing,割草,zh-CN
Digging,挖掘,zh-CN
Planting,种植,zh-CN
Transplanting,移栽,zh-CN
Harvesting,收获,zh-CN
Grafting,嫁接,zh-CN
Pollination,授粉,zh-CN
Germination,发芽,zh-CN
Growth,生长,zh-CN
Development,发育,zh-CN
Maturity,成熟,zh-CN
Dormancy,休眠,zh-CN
Drought,干旱,zh-CN
Flood,洪水,zh-CN
Pest,害虫,zh-CN
Disease,病害,zh-CN
Fungus,真菌,zh-CN
Mold,霉菌,zh-CN
Worm,蠕虫,zh-CN
Snail,蜗牛,zh-CN
Slug,蛞蝓,zh-CN
Aphid,蚜虫,zh-CN
Caterpillar,毛毛虫,zh-CN
Ladybug,瓢虫,zh-CN
Bee,蜜蜂,zh-CN
Butterfly,蝴蝶,zh-CN
Shovel,铲子,zh-CN
Spade,铁锹,zh-CN
Hoe,锄头,zh-CN
Rake,耙子,zh-CN
Trowel,小铲,zh-CN
Pruner,修枝剪,zh-CN
Shears,剪刀,zh-CN
Lawn mower,割草机,zh-CN
Wheelbarrow,手推车,zh-CN
