source,target,tgt_lng
Gardening,園藝,zh-TW
Garden center,園藝中心,zh-TW
Nursery,苗圃,zh-TW
Greenhouse,溫室,zh-TW
Garden bed,花床,zh-TW
Flower bed,花壇,zh-TW
Vegetable garden,菜園,zh-TW
Herb garden,香草園,zh-TW
Rock garden,岩石園,zh-TW
Water garden,水景園,zh-TW
Container garden,容器花園,zh-TW
Indoor garden,室內花園,zh-TW
Outdoor garden,戶外花園,zh-TW
Seedling,幼苗,zh-TW
Sapling,樹苗,zh-TW
Cutting,插條,zh-TW
Bulb,球根,zh-TW
Compost,堆肥,zh-TW
Fertilizer,肥料,zh-TW
Mulch,覆蓋物,zh-TW
Peat,泥炭,zh-TW
Sand,沙子,zh-TW
Clay,黏土,zh-TW
Loam,壤土,zh-TW
Irrigation,灌溉,zh-TW
Sprinkler,灑水器,zh-TW
Pruning,修剪,zh-TW
Weeding,除草,zh-TW
Mowing,割草,zh-TW
Digging,挖掘,zh-TW
Planting,種植,zh-TW
Transplanting,移栽,zh-TW
Harvesting,收成,zh-TW
Grafting,嫁接,zh-TW
Pollination,授粉,zh-TW
Germination,發芽,zh-TW
Growth,生長,zh-TW
Development,發育,zh-TW
Maturity,成熟,zh-TW
Dormancy,休眠,zh-TW
Drought,乾旱,zh-TW
Flood,洪水,zh-TW
Pest,害蟲,zh-TW
Disease,病害,zh-TW
Fungus,真菌,zh-TW
Mold,黴菌,zh-TW
Worm,蠕蟲,zh-TW
Snail,蝸牛,zh-TW
Slug,蛞蝓,zh-TW
Aphid,蚜蟲,zh-TW
Caterpillar,毛毛蟲,zh-TW
Ladybug,瓢蟲,zh-TW
Bee,蜜蜂,zh-TW
Butterfly,蝴蝶,zh-TW
Shovel,鏟子,zh-TW
Spade,鐵鍬,zh-TW
Hoe,鋤頭,zh-TW
Rake,耙子,zh-TW
Trowel,小鏟,zh-TW
Pruner,修枝剪,zh-TW
Shears,剪刀,zh-TW
Lawn mower,割草機,zh-TW
Wheelbarrow,手推車,zh-TW
