source,target,tgt_lng
Golf,高尔夫,zh-CN
Course,球场,zh-CN
Club,球杆,zh-CN
Ball,球,zh-CN
Tee,发球台,zh-CN
Fairway,球道,zh-CN
Rough,长草区,zh-CN
Bunker,沙坑,zh-CN
Green,果岭,zh-CN
Hole,球洞,zh-CN
Pin,旗杆,zh-CN
Cup,球杯,zh-CN
Par,标准杆,zh-CN
Birdie,小鸟球,zh-CN
Eagle,老鹰球,zh-CN
Bogey,柏忌,zh-CN
Double bogey,双柏忌,zh-CN
Triple bogey,三柏忌,zh-CN
Ace,一杆进洞,zh-CN
Drive,开球,zh-CN
Iron,铁杆,zh-CN
Wood,木杆,zh-CN
Putter,推杆,zh-CN
Wedge,挖起杆,zh-CN
Hybrid,混合杆,zh-CN
Shaft,杆身,zh-CN
Grip,握把,zh-CN
Head,杆头,zh-CN
Swing,挥杆,zh-CN
Stance,站姿,zh-CN
Grip,握杆,zh-CN
Backswing,上杆,zh-CN
Downswing,下杆,zh-CN
Follow-through,收杆,zh-CN
Slice,右曲球,zh-CN
Hook,左曲球,zh-CN
Fade,小右曲,zh-CN
Draw,小左曲,zh-CN
Shank,剃头球,zh-CN
Whiff,空挥,zh-CN
Mulligan,重打,zh-CN
Handicap,差点,zh-CN
Score,分数,zh-CN
Round,轮次,zh-CN
Tournament,比赛,zh-CN
Match,比赛,zh-CN
Stroke play,比杆赛,zh-CN
Match play,比洞赛,zh-CN
Pro,职业选手,zh-CN
Amateur,业余选手,zh-CN
Caddie,球童,zh-CN
Cart,球车,zh-CN
Bag,球包,zh-CN
Tee time,开球时间,zh-CN
Range,练习场,zh-CN
Putting green,推杆练习区,zh-CN
Driving range,练习场,zh-CN
Clubhouse,会所,zh-CN
Pro shop,专卖店,zh-CN
Rules,规则,zh-CN
Penalty,罚杆,zh-CN
Out of bounds,界外,zh-CN
Water hazard,水障碍,zh-CN
Lateral water hazard,侧面水障碍,zh-CN
Ground under repair,整修地,zh-CN
Casual water,临时积水,zh-CN
Golf,高爾夫,zh-TW
Course,球場,zh-TW
Club,球桿,zh-TW
Ball,球,zh-TW
Tee,發球台,zh-TW
Fairway,球道,zh-TW
Rough,長草區,zh-TW
Bunker,沙坑,zh-TW
Green,果嶺,zh-TW
Hole,球洞,zh-TW
Pin,旗桿,zh-TW
Cup,球杯,zh-TW
Par,標準桿,zh-TW
Birdie,小鳥球,zh-TW
Eagle,老鷹球,zh-TW
Bogey,柏忌,zh-TW
Double bogey,雙柏忌,zh-TW
Triple bogey,三柏忌,zh-TW
Ace,一桿進洞,zh-TW
Drive,開球,zh-TW
Iron,鐵桿,zh-TW
Wood,木桿,zh-TW
Putter,推桿,zh-TW
Wedge,挖起桿,zh-TW
Hybrid,混合桿,zh-TW
Shaft,桿身,zh-TW
Grip,握把,zh-TW
Head,桿頭,zh-TW
Swing,揮桿,zh-TW
Stance,站姿,zh-TW
Grip,握桿,zh-TW
Backswing,上桿,zh-TW
Downswing,下桿,zh-TW
Follow-through,收桿,zh-TW
Slice,右曲球,zh-TW
Hook,左曲球,zh-TW
Fade,小右曲,zh-TW
Draw,小左曲,zh-TW
Shank,剃頭球,zh-TW
Whiff,空揮,zh-TW
Mulligan,重打,zh-TW
Handicap,差點,zh-TW
Score,分數,zh-TW
Round,輪次,zh-TW
Tournament,比賽,zh-TW
Match,比賽,zh-TW
Stroke play,比桿賽,zh-TW
Match play,比洞賽,zh-TW
Pro,職業選手,zh-TW
Amateur,業餘選手,zh-TW
Caddie,球童,zh-TW
Cart,球車,zh-TW
Bag,球袋,zh-TW
Tee time,開球時間,zh-TW
Range,練習場,zh-TW
Putting green,推桿練習區,zh-TW
Driving range,練習場,zh-TW
Clubhouse,會所,zh-TW
Pro shop,專賣店,zh-TW
Rules,規則,zh-TW
Penalty,罰桿,zh-TW
Out of bounds,界外,zh-TW
Water hazard,水障礙,zh-TW
Lateral water hazard,側面水障礙,zh-TW
Ground under repair,整修地,zh-TW
Casual water,臨時積水,zh-TW 
