source,target,tgt_lng
Golf,高爾夫,zh-TW
Course,球場,zh-TW
Club,球桿,zh-TW
Tee,發球台,zh-TW
Fairway,球道,zh-TW
Rough,長草區,zh-TW
Bunker,沙坑,zh-TW
Green,果嶺,zh-TW
Hole,球洞,zh-TW
Pin,旗桿,zh-TW
Cup,球杯,zh-TW
Par,標準桿,zh-TW
Birdie,小鳥球,zh-TW
Eagle,老鷹球,zh-TW
Bogey,柏忌,zh-TW
Double bogey,雙柏忌,zh-TW
Triple bogey,三柏忌,zh-TW
Ace,一桿進洞,zh-TW
Drive,開球,zh-TW
Iron,鐵桿,zh-TW
Wood,木桿,zh-TW
Putter,推桿,zh-TW
Wedge,挖起桿,zh-TW
Hybrid,混合桿,zh-TW
Shaft,桿身,zh-TW
Swing,揮桿,zh-TW
Stance,站姿,zh-TW
Backswing,上桿,zh-TW
Downswing,下桿,zh-TW
Follow-through,收桿,zh-TW
Slice,右曲球,zh-TW
Hook,左曲球,zh-TW
Fade,小右曲,zh-TW
Draw,小左曲,zh-TW
Shank,剃頭球,zh-TW
Whiff,空揮,zh-TW
Mulligan,重打,zh-TW
Handicap,差點,zh-TW
Stroke play,比桿賽,zh-TW
Match play,比洞賽,zh-TW
Caddie,球童,zh-TW
Cart,球車,zh-TW
Bag,球袋,zh-TW
Tee time,開球時間,zh-TW
Putting green,推桿練習區,zh-TW
Driving range,練習場,zh-TW
Clubhouse,會所,zh-TW
Pro shop,專賣店,zh-TW
Penalty,罰桿,zh-TW
Out of bounds,界外,zh-TW
Water hazard,水障礙,zh-TW
Lateral water hazard,側面水障礙,zh-TW
Ground under repair,整修地,zh-TW
Casual water,臨時積水,zh-TW
