source,target,tgt_lng
Constitution,憲法,zh-TW
Regulation,法規,zh-TW
Statute,法令,zh-TW
Ordinance,條例,zh-TW
Code,法典,zh-TW
Amendment,修正案,zh-TW
Clause,條款,zh-TW
Subsection,小節,zh-TW
Proviso,但書,zh-TW
Schedule,附表,zh-TW
Jurisdiction,管轄權,zh-TW
Supreme Court,最高法院,zh-TW
High Court,高等法院,zh-TW
District Court,地方法院,zh-TW
Magistrate Court,治安法院,zh-TW
Appeal Court,上訴法院,zh-TW
Circuit Court,巡迴法院,zh-TW
Tribunal,法庭,zh-TW
Justice,大法官,zh-TW
Magistrate,治安法官,zh-TW
Prosecutor,檢察官,zh-TW
Attorney,律師,zh-TW
Counsel,法律顧問,zh-TW
Solicitor,事務律師,zh-TW
Barrister,大律師,zh-TW
Plaintiff,原告,zh-TW
Defendant,被告,zh-TW
Appellant,上訴人,zh-TW
Respondent,被上訴人,zh-TW
Expert witness,證人,zh-TW
Jury,陪審團,zh-TW
Juror,陪審員,zh-TW
Bailiff,法警,zh-TW
Clerk,書記官,zh-TW
Court reporter,法庭記錄員,zh-TW
Civil case,民事案件,zh-TW
Criminal case,刑事案件,zh-TW
Administrative case,行政案件,zh-TW
Appeal,上訴,zh-TW
Hearing,聽證,zh-TW
Trial,審判,zh-TW
Verdict,判決,zh-TW
Judgment,判決,zh-TW
Order,命令,zh-TW
Decree,法令,zh-TW
Ruling,裁定,zh-TW
Dissenting opinion,異議意見,zh-TW
Concurring opinion,附議意見,zh-TW
Majority opinion,多數意見,zh-TW
Minority opinion,少數意見,zh-TW
Precedent,先例,zh-TW
Binding precedent,有拘束力的先例,zh-TW
Persuasive precedent,有說服力的先例,zh-TW
Stare decisis,遵循先例,zh-TW
Common law,普通法,zh-TW
Statute law,成文法,zh-TW
Equity,衡平法,zh-TW
Customary law,習慣法,zh-TW
International law,國際法,zh-TW
Domestic law,國內法,zh-TW
Public law,公法,zh-TW
Private law,私法,zh-TW
Criminal law,刑法,zh-TW
Civil law,民法,zh-TW
Administrative law,行政法,zh-TW
Constitutional law,憲法,zh-TW
Contract law,契約法,zh-TW
Property law,財產法,zh-TW
Family law,家事法,zh-TW
Labor law,勞動法,zh-TW
Commercial law,商法,zh-TW
Bankruptcy law,破產法,zh-TW
Tax law,稅法,zh-TW
Environmental law,環境法,zh-TW
Intellectual property law,智慧財產權法,zh-TW
Deed,契據,zh-TW
Will,遺囑,zh-TW
Trust,信託,zh-TW
Lease,租約,zh-TW
License,許可證,zh-TW
Patent,專利,zh-TW
Copyright,著作權,zh-TW
Trademark,商標,zh-TW
Infringement,侵權,zh-TW
Breach,違約,zh-TW
Liability,責任,zh-TW
Negligence,過失,zh-TW
Fraud,詐欺,zh-TW
Theft,竊盜,zh-TW
Assault,攻擊,zh-TW
Battery,傷害,zh-TW
Murder,謀殺,zh-TW
Manslaughter,過失致死,zh-TW
Robbery,強盜,zh-TW
Burglary,侵入住宅竊盜,zh-TW
Arson,縱火,zh-TW
Forgery,偽造,zh-TW
Perjury,偽證,zh-TW
Contempt of court,藐視法庭,zh-TW
