source,target,tgt_lng
WHO,世界卫生组织,zh-CN
CDC,疾病控制与预防中心,zh-CN
FDA,食品药品监督管理局,zh-CN
NIH,国立卫生研究院,zh-CN
WHO,世界衛生組織,zh-TW
CDC,疾病管制與預防中心,zh-TW
FDA,食品藥物管理局,zh-TW
NIH,國家衛生研究院,zh-TW
Diagnosis,诊断,zh-CN
Treatment,治疗,zh-CN
Prevention,预防,zh-CN
Symptoms,症状,zh-CN
Signs,体征,zh-CN
Disease,疾病,zh-CN
Infection,感染,zh-CN
Virus,病毒,zh-CN
Bacteria,细菌,zh-CN
Fungus,真菌,zh-CN
Parasite,寄生虫,zh-CN
Inflammation,炎症,zh-CN
Fever,发热,zh-CN
Pain,疼痛,zh-CN
Swelling,肿胀,zh-CN
Redness,发红,zh-CN
Bleeding,出血,zh-CN
Bruise,瘀伤,zh-CN
Wound,伤口,zh-CN
Scar,疤痕,zh-CN
Rash,皮疹,zh-CN
Cough,咳嗽,zh-CN
Sneeze,打喷嚏,zh-CN
Vomit,呕吐,zh-CN
Diarrhea,腹泻,zh-CN
Constipation,便秘,zh-CN
Headache,头痛,zh-CN
Dizziness,头晕,zh-CN
Fatigue,疲劳,zh-CN
Weakness,虚弱,zh-CN
Nausea,恶心,zh-CN
Chest pain,胸痛,zh-CN
Shortness of breath,呼吸急促,zh-CN
Heart rate,心率,zh-CN
Blood pressure,血压,zh-CN
Temperature,体温,zh-CN
Pulse,脉搏,zh-CN
Respiration,呼吸,zh-CN
Oxygen,氧气,zh-CN
Blood,血液,zh-CN
Urine,尿液,zh-CN
Stool,粪便,zh-CN
Tissue,组织,zh-CN
Organ,器官,zh-CN
Muscle,肌肉,zh-CN
Bone,骨骼,zh-CN
Joint,关节,zh-CN
Nerve,神经,zh-CN
Brain,大脑,zh-CN
Heart,心脏,zh-CN
Lung,肺,zh-CN
Liver,肝脏,zh-CN
Kidney,肾脏,zh-CN
Stomach,胃,zh-CN
Intestine,肠道,zh-CN
Skin,皮肤,zh-CN
Eye,眼睛,zh-CN
Ear,耳朵,zh-CN
Nose,鼻子,zh-CN
Mouth,口腔,zh-CN
Throat,咽喉,zh-CN
Teeth,牙齿,zh-CN
Tongue,舌头,zh-CN
Lips,嘴唇,zh-CN
Hand,手,zh-CN
Foot,脚,zh-CN
Arm,手臂,zh-CN
Leg,腿,zh-CN
Back,背部,zh-CN
Neck,颈部,zh-CN
Head,头部,zh-CN
Face,面部,zh-CN
Chest,胸部,zh-CN
Abdomen,腹部,zh-CN
Hip,髋部,zh-CN
Shoulder,肩部,zh-CN
Elbow,肘部,zh-CN
Wrist,手腕,zh-CN
Knee,膝盖,zh-CN
Ankle,脚踝,zh-CN
Finger,手指,zh-CN
Toe,脚趾,zh-CN
Medicine,药物,zh-CN
Drug,药品,zh-CN
Antibiotic,抗生素,zh-CN
Antiviral,抗病毒药,zh-CN
Antifungal,抗真菌药,zh-CN
Painkiller,止痛药,zh-CN
Antipyretic,退热药,zh-CN
Anti-inflammatory,抗炎药,zh-CN
Vaccine,疫苗,zh-CN
Injection,注射,zh-CN
Tablet,片剂,zh-CN
Capsule,胶囊,zh-CN
Liquid,液体,zh-CN
Cream,乳膏,zh-CN
Ointment,软膏,zh-CN
Drops,滴剂,zh-CN
Spray,喷雾,zh-CN
Inhaler,吸入器,zh-CN
Syringe,注射器,zh-CN
Needle,针头,zh-CN
Bandage,绷带,zh-CN
Gauze,纱布,zh-CN
Plaster,创可贴,zh-CN
Splint,夹板,zh-CN
Cast,石膏,zh-CN
Crutch,拐杖,zh-CN
Wheelchair,轮椅,zh-CN
Hospital,医院,zh-CN
Clinic,诊所,zh-CN
Emergency room,急诊室,zh-CN
Operating room,手术室,zh-CN
Intensive care unit,重症监护室,zh-CN
Ward,病房,zh-CN
Laboratory,实验室,zh-CN
Pharmacy,药房,zh-CN
Doctor,医生,zh-CN
Nurse,护士,zh-CN
Surgeon,外科医生,zh-CN
Physician,内科医生,zh-CN
Specialist,专科医生,zh-CN
Dentist,牙医,zh-CN
Pharmacist,药剂师,zh-CN
Technician,技师,zh-CN
Patient,病人,zh-CN
Medical record,病历,zh-CN
Test result,检查结果,zh-CN
X-ray,X光片,zh-CN
CT scan,CT扫描,zh-CN
MRI,核磁共振,zh-CN
Ultrasound,超声,zh-CN
Blood test,验血,zh-CN
Urine test,验尿,zh-CN
Stool test,粪便检查,zh-CN
Biopsy,活检,zh-CN
Surgery,手术,zh-CN
Operation,手术,zh-CN
Anesthesia,麻醉,zh-CN
Recovery,恢复,zh-CN
Rehabilitation,康复,zh-CN
Physical therapy,物理治疗,zh-CN
Occupational therapy,职业治疗,zh-CN
Speech therapy,言语治疗,zh-CN
Diagnosis,診斷,zh-TW
Treatment,治療,zh-TW
Prevention,預防,zh-TW
Symptoms,症狀,zh-TW
Signs,徵兆,zh-TW
Disease,疾病,zh-TW
Infection,感染,zh-TW
Virus,病毒,zh-TW
Bacteria,細菌,zh-TW
Fungus,真菌,zh-TW
Parasite,寄生蟲,zh-TW
Inflammation,發炎,zh-TW
Fever,發燒,zh-TW
Pain,疼痛,zh-TW
Swelling,腫脹,zh-TW
Redness,發紅,zh-TW
Bleeding,出血,zh-TW
Bruise,瘀傷,zh-TW
Wound,傷口,zh-TW
Scar,疤痕,zh-TW
Rash,皮疹,zh-TW
Cough,咳嗽,zh-TW
Sneeze,打噴嚏,zh-TW
Vomit,嘔吐,zh-TW
Diarrhea,腹瀉,zh-TW
Constipation,便秘,zh-TW
Headache,頭痛,zh-TW
Dizziness,頭暈,zh-TW
Fatigue,疲勞,zh-TW
Weakness,虛弱,zh-TW
Nausea,噁心,zh-TW
Chest pain,胸痛,zh-TW
Shortness of breath,呼吸急促,zh-TW
Heart rate,心跳,zh-TW
Blood pressure,血壓,zh-TW
Temperature,體溫,zh-TW
Pulse,脈搏,zh-TW
Respiration,呼吸,zh-TW
Oxygen,氧氣,zh-TW
Blood,血液,zh-TW
Urine,尿液,zh-TW
Stool,糞便,zh-TW
Tissue,組織,zh-TW
Organ,器官,zh-TW
Muscle,肌肉,zh-TW
Bone,骨骼,zh-TW
Joint,關節,zh-TW
Nerve,神經,zh-TW
Brain,大腦,zh-TW
Heart,心臟,zh-TW
Lung,肺臟,zh-TW
Liver,肝臟,zh-TW
Kidney,腎臟,zh-TW
Stomach,胃,zh-TW
Intestine,腸道,zh-TW
Skin,皮膚,zh-TW
Eye,眼睛,zh-TW
Ear,耳朵,zh-TW
Nose,鼻子,zh-TW
Mouth,口腔,zh-TW
Throat,咽喉,zh-TW
Teeth,牙齒,zh-TW
Tongue,舌頭,zh-TW
Lips,嘴唇,zh-TW
Hand,手,zh-TW
Foot,腳,zh-TW
Arm,手臂,zh-TW
Leg,腿,zh-TW
Back,背部,zh-TW
Neck,頸部,zh-TW
Head,頭部,zh-TW
Face,臉部,zh-TW
Chest,胸部,zh-TW
Abdomen,腹部,zh-TW
Hip,髖部,zh-TW
Shoulder,肩部,zh-TW
Elbow,手肘,zh-TW
Wrist,手腕,zh-TW
Knee,膝蓋,zh-TW
Ankle,腳踝,zh-TW
Finger,手指,zh-TW
Toe,腳趾,zh-TW
Medicine,藥物,zh-TW
Drug,藥品,zh-TW
Antibiotic,抗生素,zh-TW
Antiviral,抗病毒藥,zh-TW
Antifungal,抗真菌藥,zh-TW
Painkiller,止痛藥,zh-TW
Antipyretic,退燒藥,zh-TW
Anti-inflammatory,消炎藥,zh-TW
Vaccine,疫苗,zh-TW
Injection,注射,zh-TW
Tablet,錠劑,zh-TW
Capsule,膠囊,zh-TW
Liquid,液體,zh-TW
Cream,乳霜,zh-TW
Ointment,藥膏,zh-TW
Drops,滴劑,zh-TW
Spray,噴霧,zh-TW
Inhaler,吸入器,zh-TW
Syringe,注射器,zh-TW
Needle,針頭,zh-TW
Bandage,繃帶,zh-TW
Gauze,紗布,zh-TW
Plaster,OK繃,zh-TW
Splint,夾板,zh-TW
Cast,石膏,zh-TW
Crutch,拐杖,zh-TW
Wheelchair,輪椅,zh-TW
Hospital,醫院,zh-TW
Clinic,診所,zh-TW
Emergency room,急診室,zh-TW
Operating room,手術室,zh-TW
Intensive care unit,加護病房,zh-TW
Ward,病房,zh-TW
Laboratory,實驗室,zh-TW
Pharmacy,藥局,zh-TW
Doctor,醫師,zh-TW
