source,target,tgt_lng
WHO,世界卫生组织,zh-CN
CDC,疾病控制与预防中心,zh-CN
FDA,食品药品监督管理局,zh-CN
NIH,国立卫生研究院,zh-CN
Diagnosis,诊断,zh-CN
Treatment,治疗,zh-CN
Prevention,预防,zh-CN
Symptoms,症状,zh-CN
Signs,体征,zh-CN
Disease,疾病,zh-CN
Infection,感染,zh-CN
Virus,病毒,zh-CN
Bacteria,细菌,zh-CN
Fungus,真菌,zh-CN
Parasite,寄生虫,zh-CN
Inflammation,炎症,zh-CN
Chest pain,胸痛,zh-CN
Shortness of breath,呼吸急促,zh-CN
Heart rate,心率,zh-CN
Blood pressure,血压,zh-CN
Pulse,脉搏,zh-CN
Respiration,呼吸,zh-CN
Tissue,组织,zh-CN
Organ,器官,zh-CN
Muscle,肌肉,zh-CN
Bone,骨骼,zh-CN
Joint,关节,zh-CN
Nerve,神经,zh-CN
Brain,大脑,zh-CN
Heart,心脏,zh-CN
Lung,肺,zh-CN
Liver,肝脏,zh-CN
Kidney,肾脏,zh-CN
Stomach,胃,zh-CN
Intestine,肠道,zh-CN
Antibiotic,抗生素,zh-CN
Antiviral,抗病毒药,zh-CN
Antifungal,抗真菌药,zh-CN
Painkiller,止痛药,zh-CN
Antipyretic,退热药,zh-CN
Anti-inflammatory,抗炎药,zh-CN
Vaccine,疫苗,zh-CN
Injection,注射,zh-CN
Tablet,片剂,zh-CN
Capsule,胶囊,zh-CN
Cream,乳膏,zh-CN
Ointment,软膏,zh-CN
Drops,滴剂,zh-CN
Spray,喷雾,zh-CN
Inhaler,吸入器,zh-CN
Syringe,注射器,zh-CN
Needle,针头,zh-CN
Bandage,绷带,zh-CN
Gauze,纱布,zh-CN
Plaster,创可贴,zh-CN
Splint,夹板,zh-CN
Cast,石膏,zh-CN
Crutch,拐杖,zh-CN
Wheelchair,轮椅,zh-CN
Emergency room,急诊室,zh-CN
Operating room,手术室,zh-CN
Intensive care unit,重症监护室,zh-CN
Ward,病房,zh-CN
Laboratory,实验室,zh-CN
Pharmacy,药房,zh-CN
Surgeon,外科医生,zh-CN
Physician,内科医生,zh-CN
Specialist,专科医生,zh-CN
Dentist,牙医,zh-CN
Pharmacist,药剂师,zh-CN
Technician,技师,zh-CN
Medical record,病历,zh-CN
Test result,检查结果,zh-CN
X-ray,X光片,zh-CN
CT scan,CT扫描,zh-CN
MRI,核磁共振,zh-CN
Ultrasound,超声,zh-CN
Blood test,验血,zh-CN
Urine test,验尿,zh-CN
Stool test,粪便检查,zh-CN
Biopsy,活检,zh-CN
Surgery,手术,zh-CN
Operation,手术,zh-CN
Anesthesia,麻醉,zh-CN
Recovery,恢复,zh-CN
Rehabilitation,康复,zh-CN
Physical therapy,物理治疗,zh-CN
Occupational therapy,职业治疗,zh-CN
Speech therapy,言语治疗,zh-CN
