source,target,tgt_lng
WHO,世界衛生組織,zh-TW
CDC,疾病管制與預防中心,zh-TW
FDA,食品藥物管理局,zh-TW
NIH,國家衛生研究院,zh-TW
Diagnosis,診斷,zh-TW
Treatment,治療,zh-TW
Prevention,預防,zh-TW
Symptoms,症狀,zh-TW
Signs,徵兆,zh-TW
Disease,疾病,zh-TW
Infection,感染,zh-TW
Virus,病毒,zh-TW
Bacteria,細菌,zh-TW
Fungus,真菌,zh-TW
Parasite,寄生蟲,zh-TW
Inflammation,發炎,zh-TW
Chest pain,胸痛,zh-TW
Shortness of breath,呼吸急促,zh-TW
Heart rate,心跳,zh-TW
Blood pressure,血壓,zh-TW
Pulse,脈搏,zh-TW
Respiration,呼吸,zh-TW
Tissue,組織,zh-TW
Organ,器官,zh-TW
Muscle,肌肉,zh-TW
Bone,骨骼,zh-TW
Joint,關節,zh-TW
Nerve,神經,zh-TW
Brain,大腦,zh-TW
Heart,心臟,zh-TW
Lung,肺臟,zh-TW
Liver,肝臟,zh-TW
Kidney,腎臟,zh-TW
Stomach,胃,zh-TW
Intestine,腸道,zh-TW
Antibiotic,抗生素,zh-TW
Antiviral,抗病毒藥,zh-TW
Antifungal,抗真菌藥,zh-TW
Painkiller,止痛藥,zh-TW
Antipyretic,退燒藥,zh-TW
Anti-inflammatory,消炎藥,zh-TW
Vaccine,疫苗,zh-TW
Injection,注射,zh-TW
Tablet,錠劑,zh-TW
Capsule,膠囊,zh-TW
Cream,乳霜,zh-TW
Ointment,藥膏,zh-TW
Drops,滴劑,zh-TW
Spray,噴霧,zh-TW
Inhaler,吸入器,zh-TW
Syringe,注射器,zh-TW
Needle,針頭,zh-TW
Bandage,繃帶,zh-TW
Gauze,紗布,zh-TW
Plaster,OK繃,zh-TW
Splint,夾板,zh-TW
Cast,石膏,zh-TW
Crutch,拐杖,zh-TW
Wheelchair,輪椅,zh-TW
Emergency room,急診室,zh-TW
Operating room,手術室,zh-TW
Intensive care unit,加護病房,zh-TW
Ward,病房,zh-TW
Laboratory,實驗室,zh-TW
Pharmacy,藥局,zh-TW
Surgeon,外科醫師,zh-TW
Physician,內科醫師,zh-TW
Specialist,專科醫師,zh-TW
Dentist,牙醫師,zh-TW
Pharmacist,藥師,zh-TW
Technician,技術員,zh-TW
Medical record,病歷,zh-TW
Test result,檢查結果,zh-TW
X-ray,X光片,zh-TW
CT scan,電腦斷層掃描,zh-TW
MRI,核磁共振,zh-TW
Ultrasound,超音波,zh-TW
Blood test,抽血檢查,zh-TW
Urine test,驗尿,zh-TW
Stool test,糞便檢查,zh-TW
Biopsy,切片檢查,zh-TW
Surgery,手術,zh-TW
Operation,手術,zh-TW
Anesthesia,麻醉,zh-TW
Recovery,恢復,zh-TW
Rehabilitation,復健,zh-TW
Physical therapy,物理治療,zh-TW
Occupational therapy,職能治療,zh-TW
Speech therapy,語言治療,zh-TW
