source,target,tgt_lng
Melody,旋律,zh-CN
Harmony,和声,zh-CN
Chord,和弦,zh-CN
Scale,音阶,zh-CN
Sharp,升号,zh-CN
Flat,降号,zh-CN
Natural,还原号,zh-CN
Time signature,拍号,zh-CN
Staff,五线谱,zh-CN
Clef,谱号,zh-CN
Treble clef,高音谱号,zh-CN
Bass clef,低音谱号,zh-CN
Piano,钢琴,zh-CN
Guitar,吉他,zh-CN
Bass,贝斯,zh-CN
Drums,鼓,zh-CN
Violin,小提琴,zh-CN
Cello,大提琴,zh-CN
Flute,长笛,zh-CN
Saxophone,萨克斯,zh-CN
Trumpet,小号,zh-CN
Trombone,长号,zh-CN
Clarinet,单簧管,zh-CN
Oboe,双簧管,zh-CN
Harp,竖琴,zh-CN
Accordion,手风琴,zh-CN
Harmonica,口琴,zh-CN
Ukulele,尤克里里,zh-CN
Banjo,班卓琴,zh-CN
Mandolin,曼陀林,zh-CN
Sitar,西塔尔琴,zh-CN
Erhu,二胡,zh-CN
Guzheng,古筝,zh-CN
Pipa,琵琶,zh-CN
Dizi,笛子,zh-CN
Suona,唢呐,zh-CN
Percussion,打击乐,zh-CN
Strings,弦乐,zh-CN
Woodwind,木管,zh-CN
Brass,铜管,zh-CN
Bow,琴弓,zh-CN
Reed,簧片,zh-CN
Valve,活塞,zh-CN
Drumstick,鼓棒,zh-CN
Cymbal,镲,zh-CN
Snare,军鼓,zh-CN
Bass drum,大鼓,zh-CN
Tom-tom,通通鼓,zh-CN
Hi-hat,踩镲,zh-CN
Composer,作曲家,zh-CN
Arranger,编曲者,zh-CN
Conductor,指挥,zh-CN
Performer,演奏者,zh-CN
Vocalist,主唱,zh-CN
Backup singer,和声,zh-CN
Session musician,录音室乐手,zh-CN
Concert hall,音乐厅,zh-CN
Orchestra,管弦乐团,zh-CN
Ensemble,合奏团,zh-CN
Choir,合唱团,zh-CN
Classical,古典音乐,zh-CN
Jazz,爵士乐,zh-CN
Rock,摇滚乐,zh-CN
Blues,蓝调,zh-CN
Country,乡村音乐,zh-CN
Folk,民谣,zh-CN
Hip hop,嘻哈音乐,zh-CN
R&B,节奏布鲁斯,zh-CN
Reggae,雷鬼,zh-CN
Latin,拉丁音乐,zh-CN
World music,世界音乐,zh-CN
Experimental,实验音乐,zh-CN
Avant-garde,前卫音乐,zh-CN
