source,target,tgt_lng
Melody,旋律,zh-TW
Harmony,和聲,zh-TW
Chord,和弦,zh-TW
Scale,音階,zh-TW
Sharp,升號,zh-TW
Flat,降號,zh-TW
Natural,還原號,zh-TW
Time signature,拍號,zh-TW
Staff,五線譜,zh-TW
Clef,譜號,zh-TW
Treble clef,高音譜號,zh-TW
Bass clef,低音譜號,zh-TW
Piano,鋼琴,zh-TW
Guitar,吉他,zh-TW
Bass,貝斯,zh-TW
Drums,鼓,zh-TW
Violin,小提琴,zh-TW
Cello,大提琴,zh-TW
Flute,長笛,zh-TW
Saxophone,薩克斯風,zh-TW
Trumpet,小號,zh-TW
Trombone,長號,zh-TW
Clarinet,單簧管,zh-TW
Oboe,雙簧管,zh-TW
Harp,豎琴,zh-TW
Accordion,手風琴,zh-TW
Harmonica,口琴,zh-TW
Ukulele,烏克麗麗,zh-TW
Banjo,班卓琴,zh-TW
Mandolin,曼陀林,zh-TW
Sitar,西塔琴,zh-TW
Erhu,二胡,zh-TW
Guzheng,古箏,zh-TW
Pipa,琵琶,zh-TW
Dizi,笛子,zh-TW
Suona,嗩吶,zh-TW
Percussion,打擊樂,zh-TW
Strings,弦樂,zh-TW
Woodwind,木管,zh-TW
Brass,銅管,zh-TW
Bow,琴弓,zh-TW
Reed,簧片,zh-TW
Valve,活塞,zh-TW
Drumstick,鼓棒,zh-TW
Cymbal,鈸,zh-TW
Snare,小鼓,zh-TW
Bass drum,大鼓,zh-TW
Tom-tom,通通鼓,zh-TW
Hi-hat,踩鈸,zh-TW
Composer,作曲家,zh-TW
Arranger,編曲者,zh-TW
Conductor,指揮,zh-TW
Performer,演奏者,zh-TW
Vocalist,主唱,zh-TW
Backup singer,和聲,zh-TW
Session musician,錄音室樂手,zh-TW
Concert hall,音樂廳,zh-TW
Orchestra,管弦樂團,zh-TW
Ensemble,合奏團,zh-TW
Choir,合唱團,zh-TW
Classical,古典音樂,zh-TW
Jazz,爵士樂,zh-TW
Rock,搖滾樂,zh-TW
Blues,藍調,zh-TW
Country,鄉村音樂,zh-TW
Folk,民謠,zh-TW
Hip hop,嘻哈音樂,zh-TW
R&B,節奏藍調,zh-TW
Reggae,雷鬼,zh-TW
Latin,拉丁音樂,zh-TW
World music,世界音樂,zh-TW
Experimental,實驗音樂,zh-TW
Avant-garde,前衛音樂,zh-TW
