source,target,tgt_lng
News,新闻,zh-CN
Article,文章,zh-CN
Report,报道,zh-CN
Story,故事,zh-CN
Headline,标题,zh-CN
Subhead,副标题,zh-CN
Lead,导语,zh-CN
Body,正文,zh-CN
Conclusion,结论,zh-CN
Source,来源,zh-CN
Quote,引用,zh-CN
Interview,采访,zh-CN
Press conference,新闻发布会,zh-CN
Press release,新闻稿,zh-CN
Breaking news,突发新闻,zh-CN
Exclusive,独家,zh-CN
Scoop,独家新闻,zh-CN
Coverage,报道,zh-CN
Journalist,记者,zh-CN
Reporter,记者,zh-CN
Editor,编辑,zh-CN
Correspondent,通讯员,zh-CN
Columnist,专栏作家,zh-CN
Commentator,评论员,zh-CN
Anchor,主播,zh-CN
Broadcast,广播,zh-CN
Live,直播,zh-CN
Recording,录制,zh-CN
Studio,演播室,zh-CN
Camera,摄像机,zh-CN
Microphone,麦克风,zh-CN
Sound,声音,zh-CN
Video,视频,zh-CN
Image,图片,zh-CN
Photo,照片,zh-CN
Caption,图片说明,zh-CN
Credit,署名,zh-CN
Deadline,截稿时间,zh-CN
Publication,出版,zh-CN
Edition,版本,zh-CN
Print,印刷,zh-CN
Digital,数字,zh-CN
Online,在线,zh-CN
Website,网站,zh-CN
Social media,社交媒体,zh-CN
Platform,平台,zh-CN
Content,内容,zh-CN
Format,格式,zh-CN
Layout,版面,zh-CN
Design,设计,zh-CN
Style,风格,zh-CN
Tone,语气,zh-CN
Language,语言,zh-CN
Translation,翻译,zh-CN
Localization,本地化,zh-CN
Fact check,事实核查,zh-CN
Verification,核实,zh-CN
Accuracy,准确性,zh-CN
Objectivity,客观性,zh-CN
Bias,偏见,zh-CN
Censorship,审查,zh-CN
Freedom of press,新闻自由,zh-CN
Ethics,伦理,zh-CN
Guidelines,准则,zh-CN
Standards,标准,zh-CN
News,新聞,zh-TW
Article,文章,zh-TW
Report,報導,zh-TW
Story,故事,zh-TW
Headline,標題,zh-TW
Subhead,副標題,zh-TW
Lead,導語,zh-TW
Body,正文,zh-TW
Conclusion,結論,zh-TW
Source,來源,zh-TW
Quote,引用,zh-TW
Interview,採訪,zh-TW
Press conference,記者會,zh-TW
Press release,新聞稿,zh-TW
Breaking news,突發新聞,zh-TW
Exclusive,獨家,zh-TW
Scoop,獨家新聞,zh-TW
Coverage,報導,zh-TW
Journalist,記者,zh-TW
Reporter,記者,zh-TW
Editor,編輯,zh-TW
Correspondent,通訊員,zh-TW
Columnist,專欄作家,zh-TW
Commentator,評論員,zh-TW
Anchor,主播,zh-TW
Broadcast,廣播,zh-TW
Live,直播,zh-TW
Recording,錄製,zh-TW
Studio,攝影棚,zh-TW
Camera,攝影機,zh-TW
Microphone,麥克風,zh-TW
Sound,聲音,zh-TW
Video,影片,zh-TW
Image,圖片,zh-TW
Photo,照片,zh-TW
Caption,圖片說明,zh-TW
Credit,署名,zh-TW
Deadline,截稿時間,zh-TW
Publication,出版,zh-TW
Edition,版本,zh-TW
Print,印刷,zh-TW
Digital,數位,zh-TW
Online,線上,zh-TW
Website,網站,zh-TW
Social media,社群媒體,zh-TW
Platform,平台,zh-TW
Content,內容,zh-TW
Format,格式,zh-TW
Layout,版面,zh-TW
Design,設計,zh-TW
Style,風格,zh-TW
Tone,語氣,zh-TW
Language,語言,zh-TW
Translation,翻譯,zh-TW
Localization,在地化,zh-TW
Fact check,事實查核,zh-TW
Verification,查證,zh-TW
Accuracy,準確性,zh-TW
Objectivity,客觀性,zh-TW
Bias,偏見,zh-TW
Censorship,審查,zh-TW
Freedom of press,新聞自由,zh-TW
Ethics,倫理,zh-TW
Guidelines,準則,zh-TW
Standards,標準,zh-TW 
