source,target,tgt_lng
News,新聞,zh-TW
Article,文章,zh-TW
Report,報導,zh-TW
Story,故事,zh-TW
Headline,標題,zh-TW
Subhead,副標題,zh-TW
Lead,導語,zh-TW
Body,正文,zh-TW
Conclusion,結論,zh-TW
Source,來源,zh-TW
Quote,引用,zh-TW
Interview,採訪,zh-TW
Press conference,記者會,zh-TW
Press release,新聞稿,zh-TW
Breaking news,突發新聞,zh-TW
Exclusive,獨家,zh-TW
Scoop,獨家新聞,zh-TW
Coverage,報導,zh-TW
Journalist,記者,zh-TW
Reporter,記者,zh-TW
Editor,編輯,zh-TW
Correspondent,通訊員,zh-TW
Columnist,專欄作家,zh-TW
Commentator,評論員,zh-TW
Anchor,主播,zh-TW
Broadcast,廣播,zh-TW
Live,直播,zh-TW
Recording,錄製,zh-TW
Studio,攝影棚,zh-TW
Camera,攝影機,zh-TW
Microphone,麥克風,zh-TW
Sound,聲音,zh-TW
Video,影片,zh-TW
Image,圖片,zh-TW
Photo,照片,zh-TW
Caption,圖片說明,zh-TW
Credit,署名,zh-TW
Deadline,截稿時間,zh-TW
Publication,出版,zh-TW
Edition,版本,zh-TW
Print,印刷,zh-TW
Digital,數位,zh-TW
Online,線上,zh-TW
Website,網站,zh-TW
Social media,社群媒體,zh-TW
Platform,平台,zh-TW
Content,內容,zh-TW
Format,格式,zh-TW
Layout,版面,zh-TW
Design,設計,zh-TW
Style,風格,zh-TW
Tone,語氣,zh-TW
Language,語言,zh-TW
Translation,翻譯,zh-TW
Localization,在地化,zh-TW
Fact check,事實查核,zh-TW
Verification,查證,zh-TW
Accuracy,準確性,zh-TW
Objectivity,客觀性,zh-TW
Bias,偏見,zh-TW
Censorship,審查,zh-TW
Freedom of press,新聞自由,zh-TW
Ethics,倫理,zh-TW
Guidelines,準則,zh-TW
Standards,標準,zh-TW
