source,target,tgt_lng
Body,機身,zh-TW
Sensor,感光元件,zh-TW
Viewfinder,觀景窗,zh-TW
LCD,液晶螢幕,zh-TW
Metering,測光,zh-TW
Focus,對焦,zh-TW
Autofocus,自動對焦,zh-TW
Manual focus,手動對焦,zh-TW
SD card,SD卡,zh-TW
CF card,CF卡,zh-TW
RAW,原始檔,zh-TW
JPEG,JPEG格式,zh-TW
Megapixel,百萬畫素,zh-TW
Full frame,全片幅,zh-TW
APS-C,APS-C片幅,zh-TW
Micro Four Thirds,微單,zh-TW
Focal length,焦距,zh-TW
Zoom,變焦,zh-TW
Prime,定焦,zh-TW
Wide angle,廣角,zh-TW
Telephoto,長焦,zh-TW
Macro,微距,zh-TW
Street,街拍,zh-TW
Wildlife,野生動物,zh-TW
Natural light,自然光,zh-TW
Artificial light,人造光,zh-TW
Flash light,閃光,zh-TW
Continuous light,持續光,zh-TW
Soft light,柔光,zh-TW
Hard light,硬光,zh-TW
Backlight,逆光,zh-TW
Side light,側光,zh-TW
Front light,順光,zh-TW
Composition,構圖,zh-TW
Rule of thirds,三分法,zh-TW
Leading lines,引導線,zh-TW
Framing,框架,zh-TW
Symmetry,對稱,zh-TW
Balance,平衡,zh-TW
Depth,深度,zh-TW
Perspective,透視,zh-TW
Angle,角度,zh-TW
Viewpoint,視點,zh-TW
Enlargement,放大,zh-TW
