source,target,tgt_lng
Sports,运动,zh-CN
Athlete,运动员,zh-CN
Team,队伍,zh-CN
Coach,教练,zh-CN
Referee,裁判,zh-CN
Umpire,裁判员,zh-CN
Player,选手,zh-CN
Captain,队长,zh-CN
Captain,队长,zh-CN
Substitute,替补,zh-CN
Starter,首发,zh-CN
Bench,替补席,zh-CN
Game,比赛,zh-CN
Match,比赛,zh-CN
Tournament,锦标赛,zh-CN
Championship,冠军赛,zh-CN
League,联赛,zh-CN
Season,赛季,zh-CN
Round,轮次,zh-CN
Quarter,节,zh-CN
Half,半场,zh-CN
Score,得分,zh-CN
Point,分,zh-CN
Goal,进球,zh-CN
Touchdown,达阵,zh-CN
Try,达阵,zh-CN
Conversion,转换得分,zh-CN
Penalty,罚球,zh-CN
Foul,犯规,zh-CN
Violation,违例,zh-CN
Offside,越位,zh-CN
Out of bounds,界外,zh-CN
Field,场地,zh-CN
Court,场地,zh-CN
Track,跑道,zh-CN
Pool,泳池,zh-CN
Rink,冰场,zh-CN
Equipment,装备,zh-CN
Uniform,队服,zh-CN
Jersey,球衣,zh-CN
Shorts,短裤,zh-CN
Shoes,鞋子,zh-CN
Cleats,钉鞋,zh-CN
Helmet,头盔,zh-CN
Gloves,手套,zh-CN
Pads,护具,zh-CN
Ball,球,zh-CN
Bat,球棒,zh-CN
Racket,球拍,zh-CN
Stick,球杆,zh-CN
Net,网,zh-CN
Goal post,球门,zh-CN
Basket,篮筐,zh-CN
Base,垒,zh-CN
Line,线,zh-CN
Mark,标记,zh-CN
Training,训练,zh-CN
Practice,练习,zh-CN
Warm-up,热身,zh-CN
Stretch,拉伸,zh-CN
Drill,训练,zh-CN
Exercise,练习,zh-CN
Workout,训练,zh-CN
Fitness,体能,zh-CN
Strength,力量,zh-CN
Speed,速度,zh-CN
Agility,敏捷,zh-CN
Endurance,耐力,zh-CN
Flexibility,柔韧性,zh-CN
Balance,平衡,zh-CN
Coordination,协调性,zh-CN
Technique,技术,zh-CN
Strategy,战术,zh-CN
Form,姿势,zh-CN
Stance,站姿,zh-CN
Grip,握法,zh-CN
Throw,投掷,zh-CN
Catch,接球,zh-CN
Pass,传球,zh-CN
Shoot,投篮,zh-CN
Kick,踢球,zh-CN
Serve,发球,zh-CN
Volley,截击,zh-CN
Dribble,运球,zh-CN
Tackle,铲球,zh-CN
Block,封堵,zh-CN
Defense,防守,zh-CN
Offense,进攻,zh-CN
Attack,进攻,zh-CN
Counterattack,反击,zh-CN
Formation,阵型,zh-CN
Position,位置,zh-CN
Role,角色,zh-CN
Tactics,战术,zh-CN
Play,战术,zh-CN
Move,动作,zh-CN
Sports,運動,zh-TW
Athlete,運動員,zh-TW
Team,隊伍,zh-TW
Coach,教練,zh-TW
Referee,裁判,zh-TW
Umpire,裁判員,zh-TW
Player,選手,zh-TW
Captain,隊長,zh-TW
Substitute,替補,zh-TW
Starter,先發,zh-TW
Bench,板凳,zh-TW
Game,比賽,zh-TW
Match,比賽,zh-TW
Tournament,錦標賽,zh-TW
Championship,冠軍賽,zh-TW
League,聯賽,zh-TW
Season,賽季,zh-TW
Round,輪次,zh-TW
Quarter,節,zh-TW
Half,半場,zh-TW
Score,得分,zh-TW
Point,分,zh-TW
Goal,進球,zh-TW
Touchdown,達陣,zh-TW
Try,達陣,zh-TW
Conversion,轉換得分,zh-TW
Penalty,罰球,zh-TW
Foul,犯規,zh-TW
Violation,違例,zh-TW
Offside,越位,zh-TW
Out of bounds,界外,zh-TW
Field,場地,zh-TW
Court,場地,zh-TW
Track,跑道,zh-TW
Pool,泳池,zh-TW
Rink,冰場,zh-TW
Equipment,裝備,zh-TW
Uniform,隊服,zh-TW
Jersey,球衣,zh-TW
Shorts,短褲,zh-TW
Shoes,鞋子,zh-TW
Cleats,釘鞋,zh-TW
Helmet,頭盔,zh-TW
Gloves,手套,zh-TW
Pads,護具,zh-TW
Ball,球,zh-TW
Bat,球棒,zh-TW
Racket,球拍,zh-TW
Stick,球桿,zh-TW
Net,網,zh-TW
Goal post,球門,zh-TW
Basket,籃框,zh-TW
Base,壘,zh-TW
Line,線,zh-TW
Mark,標記,zh-TW
Training,訓練,zh-TW
Practice,練習,zh-TW
Warm-up,熱身,zh-TW
Stretch,伸展,zh-TW
Drill,訓練,zh-TW
Exercise,練習,zh-TW
Workout,訓練,zh-TW
Fitness,體能,zh-TW
Strength,力量,zh-TW
Speed,速度,zh-TW
Agility,敏捷,zh-TW
Endurance,耐力,zh-TW
Flexibility,柔軟度,zh-TW
Balance,平衡,zh-TW
Coordination,協調性,zh-TW
Technique,技術,zh-TW
Strategy,戰術,zh-TW
Form,姿勢,zh-TW
Stance,站姿,zh-TW
Grip,握法,zh-TW
Throw,投擲,zh-TW
Catch,接球,zh-TW
Pass,傳球,zh-TW
Shoot,投籃,zh-TW
Kick,踢球,zh-TW
Serve,發球,zh-TW
Volley,截擊,zh-TW
Dribble,運球,zh-TW
Tackle,鏟球,zh-TW
Block,封阻,zh-TW
Defense,防守,zh-TW
Offense,進攻,zh-TW
Attack,進攻,zh-TW
Counterattack,反擊,zh-TW
Formation,陣型,zh-TW
Position,位置,zh-TW
Role,角色,zh-TW
Tactics,戰術,zh-TW
Play,戰術,zh-TW
Move,動作,zh-TW 
