source,target,tgt_lng
星际公民,Star Citizen,zh-CN
Aegis,圣盾,zh-CN
铁砧,Anvil,zh-CN
南船座,Argo,zh-CN
联合外域,C.O.,zh-CN
Consolidated Outlands,联合外域,zh-CN
Crusader,十字军,zh-CN
Drake,德雷克,zh-CN
MISC,武藏,zh-CN
Mirai,未来,zh-CN
Mustang,野马,zh-CN
Kruger,克鲁格,zh-CN
Origin,起源,zh-CN
Greycat,灰猫,zh-CN
Tumbril,盾博尔,zh-CN
Aopoa,奥波亚,zh-CN
Banu,巴努,zh-CN
Esperia,埃斯佩里亚,zh-CN
Gatac,盖塔克,zh-CN
Vanduul,剜度,zh-CN
Advocacy,督导局,zh-CN
Avenger Stalker,复仇者 追猎,zh-CN
Avenger Titan,复仇者 泰坦,zh-CN
Avenger Titan Renegade,复仇者 泰坦变节者,zh-CN
Avenger Warlock,复仇者 术士,zh-CN
Eclipse,日蚀,zh-CN
Gladius,短剑,zh-CN
Gladius Dunlevy,短剑 邓利维,zh-CN
Gladius Pirate,短剑 海盗,zh-CN
Gladius Valiant,短剑 勇士,zh-CN
Hammerhead,锤头鲨,zh-CN
Idris,伊德里斯,zh-CN
Idris-M,伊德里斯-M,zh-CN
Idris-P,伊德里斯-P,zh-CN
Javelin,标枪,zh-CN
Nautilus,鹦鹉螺,zh-CN
Reclaimer,回收者,zh-CN
Redeemer,救赎者,zh-CN
Retaliator,报复者,zh-CN
Retaliator Bomber,报复者 轰炸,zh-CN
Sabre,军刀,zh-CN
Sabre Comet,军刀 彗星,zh-CN
Sabre Firebird,军刀 火鸟,zh-CN
Sabre Peregrine,军刀 游隼,zh-CN
Sabre Raven,军刀 渡鸦,zh-CN
Vanguard Warden,先锋 典狱长,zh-CN
Vanguard Harbinger,先锋 先驱,zh-CN
Vanguard Hoplite,先锋 重装,zh-CN
Vanguard Sentinel,先锋 哨兵,zh-CN
Vulcan,火神,zh-CN
Arrow,箭矢,zh-CN
Asgard,阿斯加德,zh-CN
Ballista,弩炮,zh-CN
Ballista Dunestalker,弩炮 沙丘追猎者,zh-CN
Ballista Snowblind,弩炮 雪盲,zh-CN
C8R Pisces Rescue,C8R 双鱼座 救护,zh-CN
C8X Pisces Expedition,C8X 双鱼座 远征,zh-CN
C8 Pisces,C8 双鱼座,zh-CN
Centurion,百夫长,zh-CN
Crucible,坩埚,zh-CN
Gladiator,角斗士,zh-CN
Hawk,猎鹰,zh-CN
F7A Hornet Mk I,F7A 大黄蜂 Mk I,zh-CN
F7A Hornet Mk II,F7A 大黄蜂 Mk II,zh-CN
F7A Mk II,F7A Mk II,zh-CN
F7A Mk I,F7A Mk I,zh-CN
F7C Hornet Mk I,F7C 大黄蜂 Mk I,zh-CN
F7C-M Super Hornet Mk I,F7C-M 超级大黄蜂 Mk I,zh-CN
F7C-M Hornet Heartseeker Mk I,F7C-M 大黄蜂 寻心者 Mk I,zh-CN
F7C-M Hornet Heartseeker Mk II,F7C-M 大黄蜂 寻心者 Mk II,zh-CN
F7C-M Super Hornet Mk II,F7C-M 超级大黄蜂 Mk II,zh-CN
F7C-M Mk II,F7C-M Mk II,zh-CN
F7C-M Mk I,F7C-M Mk I,zh-CN
F7C-R Hornet Tracker Mk I,F7C-R 大黄蜂 追踪者 Mk I,zh-CN
F7C-R Hornet Tracker Mk II,F7C-R 大黄蜂 追踪者 Mk II,zh-CN
F7C-R Mk II,F7C-R Mk II,zh-CN
F7C-R Mk I,F7C-R Mk I,zh-CN
