source,target,tgt_lng
Miscellaneous,杂项,zh-CN
Visuals,视觉,zh-CN
Adult,成人,zh-CN
Outfits,装备,zh-CN
Air Ace,天骄王牌,zh-CN
air ace,天骄王牌,zh-CN
Air ace,天骄王牌,zh-CN
AIR ACE,天骄王牌,zh-CN
Angelic Rose,天使玫瑰,zh-CN
angelic rose,天使玫瑰,zh-CN
Angelic rose,天使玫瑰,zh-CN
ANGELIC ROSE,天使玫瑰,zh-CN
Aqua Pearl,水珍珠,zh-CN
aqua pearl,水珍珠,zh-CN
Aqua pearl,水珍珠,zh-CN
AQUA PEARL,水珍珠,zh-CN
Autonetic Bondage,自动绑带装,zh-CN
autonetic bondage,自动绑带装,zh-CN
Autonetic bondage,自动绑带装,zh-CN
AUTONETIC BONDAGE,自动绑带装,zh-CN
Black Full Dress,黑礼服,zh-CN
black full dress,黑礼服,zh-CN
Black full dress,黑礼服,zh-CN
BLACK FULL DRESS,黑礼服,zh-CN
Black Kunoichi,墨黑忍者装,zh-CN
black kunoichi,墨黑忍者装,zh-CN
Black kunoichi,墨黑忍者装,zh-CN
BLACK KUNOICHI,墨黑忍者装,zh-CN
Black Lotus,乌连,zh-CN
black lotus,乌连,zh-CN
Black lotus,乌连,zh-CN
BLACK LOTUS,乌连,zh-CN
Black Pearl,黑珍珠,zh-CN
black pearl,黑珍珠,zh-CN
Black pearl,黑珍珠,zh-CN
BLACK PEARL,黑珍珠,zh-CN
Black Rose,黑玫瑰,zh-CN
black rose,黑玫瑰,zh-CN
Black rose,黑玫瑰,zh-CN
BLACK ROSE,黑玫瑰,zh-CN
Black Wave,墨色波浪,zh-CN
black wave,墨色波浪,zh-CN
Black wave,墨色波浪,zh-CN
BLACK WAVE,墨色波浪,zh-CN
Blue Monsoon,碧蓝季风,zh-CN
blue monsoon,碧蓝季风,zh-CN
Blue monsoon,碧蓝季风,zh-CN
BLUE MONSOON,碧蓝季风,zh-CN
Comfort Force,舒适活力装,zh-CN
comfort force,舒适活力装,zh-CN
Comfort force,舒适活力装,zh-CN
COMFORT FORCE,舒适活力装,zh-CN
Comfort Knitted Dress,舒适针织裙装,zh-CN
comfort knitted dress,舒适针织裙装,zh-CN
Comfort knitted dress,舒适针织裙装,zh-CN
COMFORT KNITTED DRESS,舒适针织裙装,zh-CN
Comfort Mascot,舒适吉祥物装,zh-CN
comfort mascot,舒适吉祥物装,zh-CN
Comfort mascot,舒适吉祥物装,zh-CN
COMFORT MASCOT,舒适吉祥物装,zh-CN
Comfort Sailor,舒适水手服,zh-CN
comfort sailor,舒适水手服,zh-CN
Comfort sailor,舒适水手服,zh-CN
COMFORT SAILOR,舒适水手服,zh-CN
Cooling Suit,冷却服,zh-CN
cooling suit,冷却服,zh-CN
Cooling suit,冷却服,zh-CN
COOLING SUIT,冷却服,zh-CN
Crew Style,空乘风,zh-CN
crew style,空乘风,zh-CN
Crew style,空乘风,zh-CN
CREW STYLE,空乘风,zh-CN
Crimson Wings,绯红之翼,zh-CN
crimson wings,绯红之翼,zh-CN
Crimson wings,绯红之翼,zh-CN
CRIMSON WINGS,绯红之翼,zh-CN
Cyber Bunny,赛博兔女郎,zh-CN
cyber bunny,赛博兔女郎,zh-CN
Cyber bunny,赛博兔女郎,zh-CN
CYBER BUNNY,赛博兔女郎,zh-CN
Cyber Illusionist,赛博幻术师,zh-CN
cyber illusionist,赛博幻术师,zh-CN
Cyber illusionist,赛博幻术师,zh-CN
CYBER ILLUSIONIST,赛博幻术师,zh-CN
Cyber Magician,赛博魔法师,zh-CN
