source,target,tgt_lng
Algorithm,算法,zh-CN
Avatar,头像,zh-CN
IP Address,IP 地址,zh-CN
Cloud Computing,云计算,zh-CN
Big Data,大数据,zh-CN
Machine Learning,机器学习,zh-CN
Deep Learning,深度学习,zh-CN
Neural Network,神经网络,zh-CN
Operating System,操作系统,zh-CN
Virtual Machine,虚拟机,zh-CN
Domain Name,域名,zh-CN
Cloud Storage,云存储,zh-CN
Hard Drive,硬盘,zh-CN
Solid State Drive,固态硬盘,zh-CN
User Interface,用户界面,zh-CN
User Experience,用户体验,zh-CN
Firmware,固件,zh-CN
Ethernet,以太网,zh-CN
Database,数据库,zh-CN
Malware,恶意软件,zh-CN
Firewall,防火墙,zh-CN
Pixel,像素,zh-CN
Resolution,分辨率,zh-CN
