source,target,tgt_lng
Algorithm,演算法,zh-TW
Avatar,頭像,zh-TW
IP Address,IP 位址,zh-TW
Cloud Computing,雲端運算,zh-TW
Big Data,大數據,zh-TW
Machine Learning,機器學習,zh-TW
Deep Learning,深度學習,zh-TW
Neural Network,神經網路,zh-TW
Operating System,作業系統,zh-TW
Virtual Machine,虛擬機器,zh-TW
Domain Name,網域名稱,zh-TW
Cloud Storage,雲端儲存,zh-TW
Hard Drive,硬碟,zh-TW
Solid State Drive,固態硬碟,zh-TW
User Interface,使用者介面,zh-TW
User Experience,使用者體驗,zh-TW
Firmware,韌體,zh-TW
Ethernet,乙太網路,zh-TW
Database,資料庫,zh-TW
Malware,惡意軟體,zh-TW
Firewall,防火牆,zh-TW
Pixel,像素,zh-TW
Resolution,解析度,zh-TW
