source,target,tgt_lng
Travel,旅行,zh-CN
Tourism,旅游,zh-CN
Tourist,游客,zh-CN
Tour guide,导游,zh-CN
Tour operator,旅行社,zh-CN
Travel agency,旅行社,zh-CN
Tour package,旅游套餐,zh-CN
Itinerary,行程,zh-CN
Schedule,日程,zh-CN
Destination,目的地,zh-CN
Attraction,景点,zh-CN
Scenic spot,景点,zh-CN
Landmark,地标,zh-CN
Monument,纪念碑,zh-CN
Museum,博物馆,zh-CN
Gallery,美术馆,zh-CN
Park,公园,zh-CN
Garden,花园,zh-CN
Temple,寺庙,zh-CN
Church,教堂,zh-CN
Mosque,清真寺,zh-CN
Palace,宫殿,zh-CN
Castle,城堡,zh-CN
Fortress,要塞,zh-CN
Beach,海滩,zh-CN
Mountain,山,zh-CN
Lake,湖,zh-CN
River,河,zh-CN
Waterfall,瀑布,zh-CN
Cave,洞穴,zh-CN
Island,岛屿,zh-CN
Peninsula,半岛,zh-CN
Desert,沙漠,zh-CN
Forest,森林,zh-CN
Valley,山谷,zh-CN
Canyon,峡谷,zh-CN
Glacier,冰川,zh-CN
Volcano,火山,zh-CN
Accommodation,住宿,zh-CN
Hotel,酒店,zh-CN
Resort,度假村,zh-CN
Hostel,青年旅舍,zh-CN
Guesthouse,客栈,zh-CN
Apartment,公寓,zh-CN
Villa,别墅,zh-CN
Cabin,小屋,zh-CN
Camp,营地,zh-CN
Room,房间,zh-CN
Suite,套房,zh-CN
Single room,单人间,zh-CN
Double room,双人间,zh-CN
Twin room,双床间,zh-CN
Triple room,三人间,zh-CN
Family room,家庭房,zh-CN
Deluxe room,豪华房,zh-CN
Standard room,标准间,zh-CN
Economy room,经济房,zh-CN
Transportation,交通,zh-CN
Airport,机场,zh-CN
Airline,航空公司,zh-CN
Flight,航班,zh-CN
Airplane,飞机,zh-CN
Train station,火车站,zh-CN
Train,火车,zh-CN
Bus station,汽车站,zh-CN
Bus,公共汽车,zh-CN
Metro,地铁,zh-CN
Subway,地铁,zh-CN
Taxi,出租车,zh-CN
Car rental,租车,zh-CN
Bicycle,自行车,zh-CN
Ferry,渡轮,zh-CN
Cruise,游轮,zh-CN
Ticket,票,zh-CN
Passport,护照,zh-CN
Visa,签证,zh-CN
Customs,海关,zh-CN
Immigration,入境,zh-CN
Currency,货币,zh-CN
Exchange rate,汇率,zh-CN
Cash,现金,zh-CN
Credit card,信用卡,zh-CN
Travel insurance,旅游保险,zh-CN
Map,地图,zh-CN
Guidebook,旅游指南,zh-CN
Brochure,宣传册,zh-CN
Souvenir,纪念品,zh-CN
Gift shop,礼品店,zh-CN
Restaurant,餐厅,zh-CN
Cafe,咖啡馆,zh-CN
Bar,酒吧,zh-CN
Market,市场,zh-CN
Shopping mall,购物中心,zh-CN
Department store,百货公司,zh-CN
Local food,当地美食,zh-CN
Cuisine,菜系,zh-CN
Dish,菜品,zh-CN
Menu,菜单,zh-CN
Reservation,预订,zh-CN
Check-in,入住,zh-CN
Check-out,退房,zh-CN
Luggage,行李,zh-CN
Baggage,行李,zh-CN
Suitcase,行李箱,zh-CN
Backpack,背包,zh-CN
Camera,相机,zh-CN
Passport photo,护照照片,zh-CN
Travel adapter,旅行转换器,zh-CN
First aid kit,急救包,zh-CN
Sunscreen,防晒霜,zh-CN
Insect repellent,驱虫剂,zh-CN
Umbrella,雨伞,zh-CN
Weather,天气,zh-CN
Climate,气候,zh-CN
Season,季节,zh-CN
Spring,春天,zh-CN
Summer,夏天,zh-CN
Autumn,秋天,zh-CN
Winter,冬天,zh-CN
Rain,雨,zh-CN
Snow,雪,zh-CN
Sun,太阳,zh-CN
Cloud,云,zh-CN
Wind,风,zh-CN
Temperature,温度,zh-CN
Humidity,湿度,zh-CN
Forecast,预报,zh-CN
Travel,旅行,zh-TW
Tourism,旅遊,zh-TW
Tourist,遊客,zh-TW
Tour guide,導遊,zh-TW
Tour operator,旅行社,zh-TW
Travel agency,旅行社,zh-TW
Tour package,旅遊套餐,zh-TW
Itinerary,行程,zh-TW
Schedule,日程,zh-TW
Destination,目的地,zh-TW
Attraction,景點,zh-TW
Scenic spot,景點,zh-TW
Landmark,地標,zh-TW
Monument,紀念碑,zh-TW
Museum,博物館,zh-TW
Gallery,美術館,zh-TW
Park,公園,zh-TW
Garden,花園,zh-TW
Temple,寺廟,zh-TW
Church,教堂,zh-TW
Mosque,清真寺,zh-TW
Palace,宮殿,zh-TW
Castle,城堡,zh-TW
Fortress,要塞,zh-TW
Beach,海灘,zh-TW
Mountain,山,zh-TW
Lake,湖,zh-TW
River,河,zh-TW
Waterfall,瀑布,zh-TW
Cave,洞穴,zh-TW
Island,島嶼,zh-TW
Peninsula,半島,zh-TW
Desert,沙漠,zh-TW
Forest,森林,zh-TW
Valley,山谷,zh-TW
Canyon,峽谷,zh-TW
Glacier,冰川,zh-TW
Volcano,火山,zh-TW
Accommodation,住宿,zh-TW
Hotel,飯店,zh-TW
Resort,度假村,zh-TW
Hostel,青年旅舍,zh-TW
Guesthouse,民宿,zh-TW
Apartment,公寓,zh-TW
Villa,別墅,zh-TW
Cabin,小屋,zh-TW
Camp,營地,zh-TW
Room,房間,zh-TW
Suite,套房,zh-TW
Single room,單人房,zh-TW
Double room,雙人房,zh-TW
Twin room,雙床房,zh-TW
Triple room,三人房,zh-TW
Family room,家庭房,zh-TW
Deluxe room,豪華房,zh-TW
Standard room,標準房,zh-TW
Economy room,經濟房,zh-TW
Transportation,交通,zh-TW
Airport,機場,zh-TW
Airline,航空公司,zh-TW
Flight,航班,zh-TW
Airplane,飛機,zh-TW
Train station,火車站,zh-TW
Train,火車,zh-TW
Bus station,公車站,zh-TW
Bus,公車,zh-TW
Metro,捷運,zh-TW
Subway,地鐵,zh-TW
Taxi,計程車,zh-TW
Car rental,租車,zh-TW
Bicycle,腳踏車,zh-TW
Ferry,渡輪,zh-TW
Cruise,郵輪,zh-TW
Ticket,票,zh-TW
Passport,護照,zh-TW
Visa,簽證,zh-TW
Customs,海關,zh-TW
Immigration,入境,zh-TW
Currency,貨幣,zh-TW
Exchange rate,匯率,zh-TW
Cash,現金,zh-TW
Credit card,信用卡,zh-TW
Travel insurance,旅遊保險,zh-TW
Map,地圖,zh-TW
Guidebook,旅遊指南,zh-TW
Brochure,宣傳冊,zh-TW
Souvenir,紀念品,zh-TW
Gift shop,禮品店,zh-TW
Restaurant,餐廳,zh-TW
Cafe,咖啡館,zh-TW
Bar,酒吧,zh-TW
Market,市場,zh-TW
Shopping mall,購物中心,zh-TW
Department store,百貨公司,zh-TW
Local food,當地美食,zh-TW
Cuisine,菜系,zh-TW
Dish,菜餚,zh-TW
Menu,菜單,zh-TW
Reservation,預訂,zh-TW
Check-in,入住,zh-TW
Check-out,退房,zh-TW
Luggage,行李,zh-TW
Baggage,行李,zh-TW
Suitcase,行李箱,zh-TW
Backpack,背包,zh-TW
Camera,相機,zh-TW
Passport photo,護照照片,zh-TW
Travel adapter,旅行轉接器,zh-TW
First aid kit,急救包,zh-TW
Sunscreen,防曬乳,zh-TW
Insect repellent,防蚊液,zh-TW
Umbrella,雨傘,zh-TW
Weather,天氣,zh-TW
Climate,氣候,zh-TW
Season,季節,zh-TW
Spring,春天,zh-TW
Summer,夏天,zh-TW
Autumn,秋天,zh-TW
Winter,冬天,zh-TW
Rain,雨,zh-TW
Snow,雪,zh-TW
Sun,太陽,zh-TW
Cloud,雲,zh-TW
Wind,風,zh-TW
Temperature,溫度,zh-TW
Humidity,濕度,zh-TW
Forecast,預報,zh-TW 
