source,target,tgt_lng
Tour guide,导游,zh-CN
Tour operator,旅行社,zh-CN
Travel agency,旅行社,zh-CN
Tour package,旅游套餐,zh-CN
Itinerary,行程,zh-CN
Destination,目的地,zh-CN
Attraction,景点,zh-CN
Scenic spot,景点,zh-CN
Landmark,地标,zh-CN
Monument,纪念碑,zh-CN
Museum,博物馆,zh-CN
Gallery,美术馆,zh-CN
Temple,寺庙,zh-CN
Church,教堂,zh-CN
Mosque,清真寺,zh-CN
Palace,宫殿,zh-CN
Castle,城堡,zh-CN
Fortress,要塞,zh-CN
Beach,海滩,zh-CN
Glacier,冰川,zh-CN
Volcano,火山,zh-CN
Accommodation,住宿,zh-CN
Resort,度假村,zh-CN
Hostel,青年旅舍,zh-CN
Guesthouse,客栈,zh-CN
Single room,单人间,zh-CN
Double room,双人间,zh-CN
Twin room,双床间,zh-CN
Triple room,三人间,zh-CN
Family room,家庭房,zh-CN
Deluxe room,豪华房,zh-CN
Standard room,标准间,zh-CN
Economy room,经济房,zh-CN
Airline,航空公司,zh-CN
Flight,航班,zh-CN
Metro,地铁,zh-CN
Subway,地铁,zh-CN
Car rental,租车,zh-CN
Ferry,渡轮,zh-CN
Cruise,游轮,zh-CN
Customs,海关,zh-CN
Immigration,入境,zh-CN
Exchange rate,汇率,zh-CN
Travel insurance,旅游保险,zh-CN
Guidebook,旅游指南,zh-CN
Brochure,宣传册,zh-CN
Souvenir,纪念品,zh-CN
Gift shop,礼品店,zh-CN
Local food,当地美食,zh-CN
Cuisine,菜系,zh-CN
Dish,菜品,zh-CN
Passport photo,护照照片,zh-CN
Travel adapter,旅行转换器,zh-CN
First aid kit,急救包,zh-CN
Sunscreen,防晒霜,zh-CN
Insect repellent,驱虫剂,zh-CN
