source,target,tgt_lng
Travel,旅行,zh-TW
Tourism,旅遊,zh-TW
Tourist,遊客,zh-TW
Tour guide,導遊,zh-TW
Tour operator,旅行社,zh-TW
Travel agency,旅行社,zh-TW
Tour package,旅遊套餐,zh-TW
Itinerary,行程,zh-TW
Schedule,日程,zh-TW
Destination,目的地,zh-TW
Attraction,景點,zh-TW
Scenic spot,景點,zh-TW
Landmark,地標,zh-TW
Monument,紀念碑,zh-TW
Museum,博物館,zh-TW
Gallery,美術館,zh-TW
Park,公園,zh-TW
Garden,花園,zh-TW
Temple,寺廟,zh-TW
Church,教堂,zh-TW
Mosque,清真寺,zh-TW
Palace,宮殿,zh-TW
Castle,城堡,zh-TW
Fortress,要塞,zh-TW
Beach,海灘,zh-TW
Mountain,山,zh-TW
Lake,湖,zh-TW
River,河,zh-TW
Waterfall,瀑布,zh-TW
Cave,洞穴,zh-TW
Island,島嶼,zh-TW
Peninsula,半島,zh-TW
Desert,沙漠,zh-TW
Forest,森林,zh-TW
Valley,山谷,zh-TW
Canyon,峽谷,zh-TW
Glacier,冰川,zh-TW
Volcano,火山,zh-TW
Accommodation,住宿,zh-TW
Hotel,飯店,zh-TW
Resort,度假村,zh-TW
Hostel,青年旅舍,zh-TW
Guesthouse,民宿,zh-TW
Apartment,公寓,zh-TW
Villa,別墅,zh-TW
Cabin,小屋,zh-TW
Camp,營地,zh-TW
Room,房間,zh-TW
Suite,套房,zh-TW
Single room,單人房,zh-TW
Double room,雙人房,zh-TW
Twin room,雙床房,zh-TW
Triple room,三人房,zh-TW
Family room,家庭房,zh-TW
Deluxe room,豪華房,zh-TW
Standard room,標準房,zh-TW
Economy room,經濟房,zh-TW
Transportation,交通,zh-TW
Airport,機場,zh-TW
Airline,航空公司,zh-TW
Flight,航班,zh-TW
Airplane,飛機,zh-TW
Train station,火車站,zh-TW
Train,火車,zh-TW
Bus station,公車站,zh-TW
Bus,公車,zh-TW
Metro,捷運,zh-TW
Subway,地鐵,zh-TW
Taxi,計程車,zh-TW
Car rental,租車,zh-TW
Bicycle,腳踏車,zh-TW
Ferry,渡輪,zh-TW
Cruise,郵輪,zh-TW
Ticket,票,zh-TW
Passport,護照,zh-TW
Visa,簽證,zh-TW
Customs,海關,zh-TW
Immigration,入境,zh-TW
Currency,貨幣,zh-TW
Exchange rate,匯率,zh-TW
Cash,現金,zh-TW
Credit card,信用卡,zh-TW
Travel insurance,旅遊保險,zh-TW
Map,地圖,zh-TW
Guidebook,旅遊指南,zh-TW
Brochure,宣傳冊,zh-TW
Souvenir,紀念品,zh-TW
Gift shop,禮品店,zh-TW
Restaurant,餐廳,zh-TW
Cafe,咖啡館,zh-TW
Bar,酒吧,zh-TW
Market,市場,zh-TW
Shopping mall,購物中心,zh-TW
Department store,百貨公司,zh-TW
Local food,當地美食,zh-TW
Cuisine,菜系,zh-TW
Dish,菜餚,zh-TW
Menu,菜單,zh-TW
Reservation,預訂,zh-TW
Check-in,入住,zh-TW
Check-out,退房,zh-TW
Luggage,行李,zh-TW
Baggage,行李,zh-TW
Suitcase,行李箱,zh-TW
Backpack,背包,zh-TW
Camera,相機,zh-TW
Passport photo,護照照片,zh-TW
Travel adapter,旅行轉接器,zh-TW
First aid kit,急救包,zh-TW
Sunscreen,防曬乳,zh-TW
Insect repellent,防蚊液,zh-TW
Umbrella,雨傘,zh-TW
Weather,天氣,zh-TW
Climate,氣候,zh-TW
Season,季節,zh-TW
Spring,春天,zh-TW
Summer,夏天,zh-TW
Autumn,秋天,zh-TW
Winter,冬天,zh-TW
Rain,雨,zh-TW
Snow,雪,zh-TW
Sun,太陽,zh-TW
Cloud,雲,zh-TW
Wind,風,zh-TW
Temperature,溫度,zh-TW
Humidity,濕度,zh-TW
Forecast,預報,zh-TW
